ID (FIELDS)	image	pt_word	pt_word_art	pt_ipa_PT	pt_ipa_BR	pt_type_gender	pt_notes	pt_marker	en_word	en_ipa_US	en_ipa_UK	en_type	en_notes	en_marker	es_word	es_ipa_ES	es_IPA_LA	es_type_gender	es_notes	es_marker	fr_word	fr_word_art	fr_ipa	fr_type_gender	fr_notes	fr_marker	de_word	de_word_art	de_ipa	de_type_gender	de_notes	de_marker	val_word	val_ipa	cat_ipa	val_type_gender	val_notes	val_marker	it_word	it_ipa	it_gender	it_notes	it_marker	en_pron	pt_pron	es_pron	fr_pron	de_pron	it_pron	val_pron	Portugues::Vocabulario::Animais Tags Vocabulary::Animals Vocabulary::Animals::Basic
introvertido, introvertida	<img src="Armin Kid Shy Crying.JPG">	introvertido, introvertida	introvertido, introvertida	/ĩ.tɾu.vɨɾ.ˈti.du/ ,  /ĩ.tɾu.vɨɾ.ˈti.dɐ/	/ ĩtɾoveʁˈtʃidu | ĩtɾoveʁˈtʃidɐ /	adj m/f	Alguém que é voltado para si mesmo, reservado ou tímido.		introverted	/ˈɪntɹəˌvɜ˞təd/	/ˌɪntrəˈvɜːtɪd/				introvertido							introverti						introvertiert						introvertit						introverso											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
acanhado, acanhada	<img src="Armin Shy.JPG">	acanhado, acanhada	acanhado, acanhada	/ɐ.kɐ.ˈɲa.du/ ,  /ɐ.kɐ.ˈɲa.dɐ/	/ akɐˈɲadu | akɐˈɲadɐ /	adj m/f	Que demonstra timidez ou inibição.		shy	/ˈʃaɪ/	/ˈʃaɪ/				tímido (com "a")							honteux						schüchtern						acanhat						timido											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Carácter Portugues::Adjetivos
afável	<img src="Marco_Bott_02.JPG">	afável	afável	/ɐ.ˈfa.vɛɫ/	/ aˈfavɛw /	adj m/f	Que é gentil, amável e cordial no trato.		affable	/ˈæfəbəl/	/ˈæfəbᵊl/				afable							affable						freundlich						afable						amichevole											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
afetado, afetada	<img src="Hitch 04.JPG">	afetado, afetada	afetado, afetada	/ɐ.fɨ.ˈta.du/ ,  /ɐ.fɨ.ˈta.dɐ/	/ afeˈtadu | afeˈtadɐ /	adj m/f	Que demonstra afetação, artificial ou pretensioso.		affected	/əˈfɛktəd/	/əˈfektɪd/				cursi, empalagoso (com "a")							affecté						affektiert						afectat						affettato											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
afetuoso, afetuosa	<img src="Sasha, Connie, Jean, Marco.jpg">	afetuoso, afetuosa	afetuoso, afetuosa	/ɐ.fɨ.tu.ˈo.zu/ ,  /ɐ.fɨ.tu.ˈo.zɐ/	/ afetuˈɔzu | afetuˈɔzɐ /	adj m/f	Que demonstra afeição ou carinho.		affectionate	/əˈfɛkʃənət/	/əˈfekʃᵊnət/				afectuoso							affectueux						liebevoll						afectuós						affettuoso											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
agressivo, agressiva	<img src="Eren Brigento 02.JPG">	agressivo, agressiva	agressivo, agressiva	/ɐ.gɾɨ.ˈsi.vu/ ,  /ɐ.gɾɨ.ˈsi.vɐ/	/ aɡɾeˈsivu | aɡɾeˈsivɐ /	adj m/f	Que tende a ser hostil ou violento.		aggressive	/əˈɡɹɛsɪv/	/əˈɡresɪv/				agresivo, agresiva							agressif						aggressiv						agressiu						aggressivo											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
aldrabão, aldrabona	<img src="Pixis_Chess_Wald.JPG">	aldrabão, aldrabona	o aldrabão, a aldrabona	/aɫ.dɾɐ.ˈbɐ̃w/ ,  /aɫ.dɾɐ.ˈbo.nɐ/	/ awdɾaˈbɐ̃w̃ | awdɾaˈbonɐ /	sm / sf	Alguém que mente ou engana frequentemente.		cheat	/ˈtʃit/	/ˈtʃiːt/				tramposo							escroc						Betrüger						trampos						imbroglione											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
altivo, altiva	<img src="Oulo_Face.JPG">	altivo, altiva	altivo, altiva	/aɫ.ˈti.vu/ ,  /aɫ.ˈti.vɐ/	/ awˈtʃivu | awˈtʃivɐ /	adj m/f	Que demonstra orgulho ou superioridade.		haughty	/ˈhɔti/	/ˈhɔːti/				altivo							hautain						hochmütig						altívolo						altezzoso											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
altruista	<img src="Sasha_Braun_Family.JPG">	altruista	altruista	/aɫ.ˈtɾujʃ.tɐ/	/ awˈtɾujstɐ /	adj m/f	Que se dedica ao bem dos outros, sem interesse pessoal.		altruistic	/ˌæltɹuˈɪstɪk/	/ˌæltruˈɪstɪk/				altruista							altruiste						altruistisch						altruista						altruista											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
amável	<img src="Krista Feeding Sasha.gif">	amável	amável	/ɐ.ˈma.vɛɫ/	/ ɐˈmavɛw /	adj m/f	Que é gentil, agradável ou cortês.		lovable	/ˈləvəbəl/	/ˈlʌvəbᵊl/				amable							aimable						liebenswert						amable						amabile											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
