#separator:tab
#html:true
#tags column:25
dar + imperativo	dar	imperativo		Dá	Dê	Demos	Dêem		Não dês	Não dê	Não demos	Não dêem		/ˈda/	/ˈde/	/ˈdɛmuʃ/	/ˈdeɐ̃j/		/ˈnɐ̃w ˈdeʃ/	/ˈnɐ̃w ˈde/	/ˈnɐ̃w̃ ˈdɛmuʃ/	/ˈnɐ̃w ˈdeɐ̃j/		Portugues::Conjugacao Curso::1A2 Curso::2A2
estar + imperativo	estar	imperativo		Está	Esteja	Estejamos	Estejam		Não estejas	Não esteja	Não estejamos	Não estejam		/ʃˈta/	/ʃˈtɐjʒɐ/	/ʃtɨˈʒɐmuʃ/	/ʃˈtɐjʒɐ̃w/		/ˈnɐ̃w ʃˈtɐjʒɐʃ/	/ˈnɐ̃w ʃˈtɐjʒɐ/	/ˈnɐ̃w̃ ʃtɨˈʒɐmuʃ/	/ˈnɐ̃w ʃˈtɐjʒɐ̃w/		Portugues::Conjugacao Curso::1A2 Curso::2A2
ir + imperativo	ir	imperativo		Vai	Vá	Vamos	Vão		Não vás	Não vá	Não vamos	Não vão		/ˈvaj/	/ˈva/	/ˈvɐmuʃ/	/ˈvɐ̃w/		/ˈnɐ̃w ˈvaʃ/	/ˈnɐ̃w ˈva/	/ˈnɐ̃w̃ ˈvɐmuʃ/	/ˈnɐ̃w ˈvɐ̃w/		Portugues::Conjugacao Curso::1A2 Curso::2A2
ser + imperativo	ser	imperativo		Sê	Seja	Sejamos	Sejam		Não sejas	Não seja	Não sejamos	Não sejam		/ˈse/	/ˈsɐjʒɐ/	/sɨˈʒɐmuʃ/	/ˈsɐjʒɐ̃w/		/ˈnɐ̃w ˈsɐjʒɐʃ/	/ˈnɐ̃w ˈsɐjʒɐ/	/ˈnɐ̃w̃ sɨˈʒɐmuʃ/	/ˈnɐ̃w ˈsɐjʒɐ̃w/		Portugues::Conjugacao Curso::1A2 Curso::2A2
[ID]	[Verbo]	[Tiempo]	[eu]	[tu]	[voce]	[nos]	[voces]	[eu_neg]	[tu_neg]	[voce_neg]	[nos_neg]	[voces_neg]	[eu_IPA]	[tu_IPA]	[voce_IPA]	[nos_IPA]	[voces_IPA]	[eu_neg_IPA]	[tu_neg_IPA]	[voce_neg_IPA]	[nos_neg_IPA]	[voces_neg_IPA]	[Notas]	Tags
Gostar + Imperativo	Gostar	Imperativo		Gosta	Goste	Gostemos	Gostem		Não gostes	Não goste	Não gostemos	Não gostem		/ˈɡɔʃtɐ/	/ˈɡɔʃtɨ/	/ɡuˈʃtemuʃ/	/ˈɡɔʃtɐ̃j̃/		/ˈnɐ̃w̃ ˈɡɔʃtɨʃ/	/ˈnɐ̃w̃ ˈɡɔʃtɨ/	/ˈnɐ̃w̃ ɡuˈʃtemuʃ/	/ˈnɐ̃w̃ ˈɡɔʃtɐ̃j̃/		Portugues::Conjugacao Curso::2A2
Começar + Imperativo	Começar	Imperativo		Começa	Comece	Comecemos	Comecem		Não comeces	Não comece	Não comecemos	Não comecem		/kuˈmɛsɐ/	/kuˈmɛsɨ/	/kumɨˈsemuʃ/	/kuˈmɛsɐ̃j̃/		/ˈnɐ̃w̃ kuˈmɛsɨʃ/	/ˈnɐ̃w̃ kuˈmɛsɨ/	/ˈnɐ̃w̃ kumɨˈsemuʃ/	/ˈnɐ̃w̃ kuˈmɛsɐ̃j̃/		Portugues::Conjugacao Curso::2A2
Continuar + Imperativo	Continuar	Imperativo		Continua	Continue	Continuemos	Continuem		Não continues	Não continue	Não continuemos	Não continuem		/kõtiˈnuɐ/	/kõtiˈnuɨ/	/kõtinuˈemuʃ/	/kõtiˈnuɐ̃j̃/		/ˈnɐ̃w̃ kõtiˈnuɨʃ/	/ˈnɐ̃w̃ kõtiˈnuɨ/	/ˈnɐ̃w̃ kõtinuˈemuʃ/	/ˈnɐ̃w̃ kõtiˈnuɐ̃j̃/		Portugues::Conjugacao Curso::2A2
Lembrar-se + Imperativo	Lembrar-se	Imperativo		Lembra-te	Lembre-se	Lembremo-nos	Lembrem-se		Não te lembres	Não se lembre	Não nos lembremos	Não se lembrem		/lẽˈbɾatɨ/	/lẽˈbɾɛsɨ/	/lẽbɾɨˈmɔnuʃ/	/lẽˈbɾẽsɨ/		/ˈnɐ̃w̃ ˈtɛ ˈlẽbɾɨʃ/	/ˈnɐ̃w̃ sɨ ˈlẽbɾɨ/	/ˈnɐ̃w̃ ˈnɔʒ lẽˈbɾɛmuʃ/	/ˈnɐ̃w̃ sɨ ˈlẽbɾɐ̃j̃/		Portugues::Conjugacao Curso::2A2
Precisar + Imperativo	Precisar	Imperativo		Precisa	Precise	Precisemos	Precisem		Não precises	Não precise	Não precisemos	Não precisem		/pɾɨˈsizɐ/	/pɾɨˈsizɨ/	/pɾɨsiˈzemuʃ/	/pɾɨˈsizɐ̃j̃/		/ˈnɐ̃w̃ pɾɨˈsizɨʃ/	/ˈnɐ̃w̃ pɾɨˈsizɨ/	/ˈnɐ̃w̃ pɾɨsiˈzemuʃ/	/ˈnɐ̃w̃ pɾɨˈsizɐ̃j̃/		Portugues::Conjugacao Curso::2A2
Entrar + Imperativo	Entrar	Imperativo		Entra	Entre	Entremos	Entrem		Não entres	Não entre	Não entremos	Não entrem		/ˈẽtɾɐ/	/ˈẽtɾɨ/	/ẽˈtɾɛmuʃ/	/ˈẽtɾɐ̃j̃/		/ˈnɐ̃w̃ ˈẽtɾɨʃ/	/ˈnɐ̃w̃ ˈẽtɾɨ/	/ˈnɐ̃w̃ ẽˈtɾɛmuʃ/	/ˈnɐ̃w̃ ˈẽtɾɐ̃j̃/		Portugues::Conjugacao Curso::2A2
