#separator:tab
#html:true
#tags column:52
tratar de	"<img src=""_tratar_do_jardim.JPG"">"	tratar de ....	tratar de ....	/tɾɐˈtaɾ dɨ ..../	/tɾaˈtaʁ dʒi ..../	exp	Responsabilizar-se por algo ou cuidar de uma tarefa.	Means to care for	take care	/ˈtʰeɪk ˈkʰɛr/	/ˈtʰeɪk ˈkʰeə/	exp	To pay attention to or deal with something or someone responsibly.		cuidar	/kwiˈðaɾ/	/kwiˈðaɾ/	v			traiter		/tʁɛte/		v		behandeln		/bəˈhandl̩n/				tractar						trattare	/tratˈtare/											Portugues::1A2 Portugues::Conjugacao Portugues::Verbos Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Portugues::1VOC::Pessoas::Tempo_livre Portugues::1VOC::Verbos Voc::Activities
honesto, honesta		honesto, honesta	honesto, honesta	/o.ˈneʃ.tu/ ,  /o.ˈneʃ.tɐ/	/ oˈnɛstu | oˈnɛstɐ /	adj m , adj f	Que é íntegro ou digno.		honest	/ˈɑnəst/	/ˈɒnɪst/	adj	Truthful and trustworthy.		honesto, honesta			adjm, adjf				honnête						ehrlich						honest						honesto											Curso::2A2::Folhas-Carecterizacao_Personalidade Portugues::Adjetivos Portugues::Livros::1A2_O_Alienista Portugues::Mesma_palavra_em_Espanhol Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Portugues::1VOC::Personalidade Voc::People::Description Voc::Personality
bolso (roupa)	"<img src=""_bolso_bolsillo.JPG"">"	bolso	o bolso			sm	Compartimento em roupas, usado para guardar pequenos objetos.		pocket	/ˈpɑkət/	/ˈpɒkɪt/				bolsillo						poche						Tasche						butxaca						tasca												Portugues::1A2 Curso::2A2 Portugues::Falso_Amigo Portugues::Livros::2A2-Cinco-minutos Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Portugues::1VOC::Roupa Portugues::1VOC::Roupa::Detalhes Voc::Clothing
camisa	"<img src=""_camisa_amarela.JPG"">"	camisa	a camisa	/ɐ kɐˈmizɐ/	/a kɐˈmizɐ/	sf	Peça de vestuário com mangas, geralmente usada com botões.		shirt	/ˈʃɜ˞t/	/ˈʃɜːt/	n	A garment for the upper body, typically with a collar and sleeves.		camisa						chemise						Hemd						camisa						camicia												Portugues::1A2 Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Portugues::1VOC::Roupa::de_Cima Voc::Clothing
mês	"<img src=""_en_month.JPG"">"	mês	o mês	/u ˈmeʃ/	/u ˈmes/	sm	Unidade de tempo correspondente a 30 ou 31 dias.		month	/ˈmənθ/	/ˈmʌnθ/	n	One of the twelve divisions of a calendar year.		mes	/ˈmes/	/ˈmes/				mois		/mwa/				Monat		/ˈmoːnat/				mes						mese	/ˈmeze/											Portugues::1VOC Portugues::1VOC::Basicos Portugues::1VOC::Basicos::Tempo Portugues::1VOC::Basicos::Tempo::Meses Portugues::1VOC::Basicos::Tempo::Unidades Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Voc::Basic::Time::Months Voc::Basic::Time::Units Voc::Time::Months
povo (conjunto de pessoas)	"<img src=""_povo.JPG"">"	povo	o povo	/u ˈpɔvu/	/u ˈpɔvu/	sm	Conjunto de pessoas que habitam um lugar ou nação.		people	/ˈpʰiːpəl/	/ˈpʰiːpᵊl/	np	Persons in general or collectively.		pueblo (personas)	/ˈpweβlo/	/ˈpweβlo/				peuple (groupe de personnes)		/pœpl (ɡʁup də pɛʁsɔn) /				Volk (Gruppe von Menschen)		/ˈfɔlk (ˈɡrʊpə ˈfɔn ˈmɛnʃən) /				poble (conjunt de persones)						popolo (gruppo di persone)	/ˈpɔpolo (ˈɡruppo di ˈpɛrsone) /											Portugues::1VOC Portugues::1VOC::Abstratos Portugues::1VOC::Musicas::Festa-Na-Moureria Portugues::1VOC::Musicas::Filha-da-Tuga Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Portugues::1VOC::Pessoas Portugues::Falso_Amigo Voc::People
desempregado,a	"<img src=""_desempregada.JPG"">"	desempregado, desempregada	o desempregado, a desempregada	u dɨzẽpɾɨˈɡadu | ɐ dɨzẽpɾɨˈɡadɐ	u dezẽpɾeˈɡadu | a dezẽpɾeˈɡadɐ	sm, sf	Aquele que está sem trabalho ou emprego.		unemployed	ˌənɪmˈplɔɪd	ˌʌnɪmˈplɔɪd	adj	Describing someone who does not have a job.		desempleado, desempleada						chômeur, chômeuse						Arbeitsloser, Arbeitslose						aturat, aturada						disoccupato, disoccupata												Curso::2A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Portugues::1VOC::Trabalho Portugues::1VOC::Trabalho::Profissoes Portugues::Falso_Amigo Voc::Profession Voc::Work_n_Career::Profession
ordenado		ordenado	o ordenado	/u oɾdɨˈnadu/	/u oʁdeˈnadu/	sm	É o salário, o vencimento de um trabalhador.		salary	/ˈsælə˞ɹi/	/ˈsælᵊri/				salario, sueldo (com &quot;o&quot;)						salaire						Gehalt						salari						stipendio												Curso::2A2 Portugues::Falso_Amigo Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Portugues::1VOC::Trabalho Portugues::1VOC::Trabalho::Profissoes Voc::Work_n_Career Voc::Work_n_Career::Profession
salário		salário	o salário	/u sɐˈlaɾiu/	/u saˈlaɾiu/	sm	Valor fixo pago periodicamente a um trabalhador por seus serviços.	E receber uma gorjeta que chamam salário	salary	/ˈsælə˞ɹi/	/ˈsælᵊri/				salario, sueldo (com &quot;s&quot;)						salaire						Gehalt						salari						impiegato (PT)												Curso::2A2 Portugues::Falso_Amigo Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Portugues::1VOC::Trabalho Portugues::1VOC::Trabalho::Profissoes Voc::Work_n_Career Voc::Work_n_Career::Profession
meus cotas, os cotas		meus cotas, os cotas	os meus cotas, os cotas	/uʒ ˈmewʃ ˈkɔtɐʃ/	/uʒ ˈmews ˈkɔtas/	smp, smp	Expressão informal para se referir aos pais.	Os cotas já me querem ver pelas costas	my parents	/ˈmaɪ ˈpʰɛrənts/	/maɪ ˈpʰeərənts/				mis viejos (padres)						mes vieux						meine Alten						els meus vells						i miei vecchi												Curso::2A2 Lugares::Portugal Portugues::Frases Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Portugues::1VOC::Pessoas Voc::Family
arranjar		arranjar	arranjar	/ɐʁɐ̃ˈʒaɾ/	/aʁɐ̃ˈʒaʁ/	v	Obter, consertar ou preparar algo.	Alguém me arranje emprego	to fix, to arrange	/tə ˈfɪks | tu ə˞ˈɹeɪndʒ/	/tə ˈfɪks | tu əˈreɪndʒ/				arreglar, organizar						arranger, réparer						arrangieren, reparieren						arranjar						aggiustare, sistemare												Curso::2A2 Curso::2A2::vocabulario-clase Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Voc::Disasters::Dana
