#separator:tab
#html:true
#tags column:52
bem-disposto, bem-disposta	"<img src=""_bem-disposta_acordar.JPG"">"	bem-disposto, bem-disposta	bem-disposto, bem-disposta	/bɐ̃j-dɨʃ.ˈpoʃ.tu/ ,  /bɐ̃j-dɨʃ.ˈpoʃ.tɐ/	/ bẽdʒisˈpɔstu | bẽdʒisˈpɔstɐ /	adj m/f	Que está de bom humor ou com disposição favorável.	<div>1.&nbsp;Que&nbsp;tem&nbsp;boa&nbsp;disposição&nbsp;ou&nbsp;bom&nbsp;humor.</div><div>2.&nbsp;Que&nbsp;está&nbsp;bem&nbsp;de&nbsp;saúde.</div>	good-spirited	/ˈɡʊdˈspɪrətəd/	/ˈɡʊdˈspɪrɪtɪd/	adj	Optimistic, cheerful, and in a good mood.		con ánimos (salud), alegre						de bonne humeur						fröhlich						bendispost						ben disposto												Portugues::Adjetivos Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Carácter Portugues::Vocabulario::Pessoas::Descripçao Portugues::Vocabulario::Saude Vocabulary::Health
espirrar	"<img src=""_espirrar.gif"">"	espirrar	espirrar	/ʃpiˈʁaɾ/	/ispiˈʁaʁ/	v	Ação de expelir ar pelos pulmões de forma súbita e ruidosa, geralmente devido a irritação nasal.		to sneeze	/tə ˈsniz/	/tə ˈsniːz/	v	To expel air forcibly through the nose and mouth due to irritation.		estornudar						éternuer						niesen						esternudar						starnutire												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
assoar-se	"<img src=""_precisar_lenços_tissues.JPG"">"	assoar-se	assoar-se	/ɐsuˈaɾsɨ/	/asoˈaʁsi/	v	Limpar as narinas expulsando ar pelo nariz, geralmente com a ajuda de um lenço.		to blow one's nose	/tə ˈbloʊ ˈwənz ˈnoʊz/	/tə ˈbləʊ ˈwʌnz ˈnəʊz/	exp	To clear the nostrils by forcing air out into a tissue.		sonarse						se moucher						sich schnäuzen						sonar-se						soffiarsi il naso												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Tratamento Vocabulary::Health
tem constipado	"<img src=""_resfriados.JPG"">"	tem constipado	tem constipado	/ˈtɐ̃j̃ kõʃtiˈpadu/	/ˈtẽj̃ kõstʃiˈpadu/	exp	Estar resfriado ou com sintomas de gripe.		has a cold	/həz ə ˈkʰoʊld/	/həz ə ˈkʰəʊld/	v	To suffer from a common viral infection of the respiratory tract.		tiene resfriado						a un rhume						hat eine Erkältung						té un refredat						ha il raffreddore												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Vocabulary::Health
precisas lenços	"<img src=""_precisar_lenços.JPG"">"	precisas lenços	precisas lenços	/pɾɨˈsizɐʒ ˈlẽsuʃ/	/pɾeˈsizas ˈlẽsus/	exp	Frase indicando a necessidade de lenços para limpar ou assoar o nariz.		you need tissues	/jə ˈnid ˈtʰɪʃuz/	/jə ˈniːd ˈtʰɪʃuːz/	exp	A phrase indicating the necessity of paper tissues, often for sneezing or wiping.		necesitas pañuelos						tu as besoin de mouchoirs						du brauchst Taschentücher						necessites mocadors						hai bisogno di fazzoletti												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Tratamento Vocabulary::Health
entorse no tornozelo	"<img src=""_torcedura_esguince_tornozelo_tobillo.JPG"">"	entorse no tornozelo	a entorse no tornozelo	/ɐ ẽˈtɔɾsɨ nu tuɾnuˈzɛlu/	/a ẽˈtɔʁsi nu toʁnoˈzɛlu/	sm	Lesão na articulação do tornozelo.		ankle sprain	/ˈæŋkəl ˈspɹeɪn/	/ˈæŋkᵊl ˈspreɪn/	n	An injury where the ligaments in the ankle are stretched or torn.		esguince en el tobillo						entorse de la cheville						Knöchelverstauchung						esquinç de turmell						distorsione alla caviglia												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
torceu um pé	"<img src=""_torceu_um_pe.JPG"">"	torceu um pé	torceu um pé	/tuɾˈsew ˈũ ˈpɛ/	/toʁˈsew ˈũ ˈpɛ/	exp	Expressão para indicar que alguém sofreu uma torção no pé.		twisted a foot	/ˈtwɪstəd ə ˈfʊt/	/ˈtwɪstɪd ə ˈfʊt/	exp	To accidentally sprain or injure the foot by awkward movement.		se torció un pie						s'est tordu un pied						hat sich den Fuß verdreht						s'ha torçat un peu						ha storto un piede												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
muito inchado	"<img src=""_inchado.JPG"">"	muito inchado	muito inchado	/ˈmũjtu ĩˈʃadu/	/ˈmũjtu ĩˈʃadu/	adj m	Que está com aumento de volume devido a inflamação ou lesão.		very swollen	/ˈvɛri ˈswoʊlən/	/ˈveri ˈswəʊlən/	adj	Significantly enlarged or puffed due to inflammation or fluid.		muy hinchado						très enflé						sehr geschwollen						molt inflat						molto gonfio												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
queimarse com água a ferver	"<img src=""_queimarse_agua_ferver.JPG"">"	queimarse com água a ferver	queimarse com água a ferver	/kɐjˈmaɾsɨ ˈkõ ˈaɡwɐ ɐ fɨɾˈveɾ/	/kejˈmaʁsi ˈkõ ˈaɡwɐ a feʁˈveʁ/	exp	Sofrer uma queimadura causada por água quente.		burn with boiling water	/ˈbɜ˞n ˈwɪθ ˈbɔɪlɪŋ ˈwɔtə˞/	/ˈbɜːn wɪð ˈbɔɪlɪŋ ˈwɔːtə/	v	To sustain an injury from contact with boiling water.		quemarse con agua hirviendo						se brûler avec de l'eau bouillante						mit kochendem Wasser verbrennen						cremar-se amb aigua bullint						ustionarsi con acqua bollente												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
queimadura	"<img src=""_queimadura.JPG"">"	queimadura	a queimadura	/ɐ kɐjmɐˈduɾɐ/	/a kejmaˈduɾɐ/	sf	Lesão na pele causada por calor, eletricidade ou substâncias químicas.		burn	/ˈbɜ˞n/	/ˈbɜːn/	n	An injury caused by heat, chemicals, or radiation.		quemadura						brûlure						Verbrennung						cremada						ustione												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
vou desinfetar	"<img src=""_desinfetar_ferida.JPG"">"	vou desinfetar	vou desinfetar	/ˈvo dɨzĩfɨˈtaɾ/	/ˈvo dezĩfeˈtaʁ/	exp	Expressão indicando a intenção de limpar uma ferida.		I will disinfect	/aɪ ˈwɪl ˌdɪsɪnˈfɛkt/	/aɪ ˈwɪl ˌdɪsɪnˈfekt/	v	To clean an area or object to destroy germs or bacteria.		voy a desinfectar						je vais désinfecter						ich werde desinfizieren						desinfectaré						disinfetterò												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Tratamento Vocabulary::Health
