#separator:tab
#html:true
#tags column:52
trabalhador,a (personalidade	"<img src=""Eren Working.gif"">"	trabalhador, trabalhadora	trabalhador, trabalhadora	/tɾɐbɐʎa'doɾ/, /tɾɐbɐʎa'doɾɐ/	/ tɾabaʎaˈdoʁ | tɾabaʎaˈdɔɾɐ /	adj m, adj f	Que se dedica com esforço ao trabalho.	"<img src=""Eren Working.gif"">"	hardworking	/ˈhɑrdˈwɜ˞kɪŋ/		adj	Putting in a lot of effort or diligence.		trabajador, trabajadora	/feˈlis/		adj m/f.			travailleur, travailleuse		/tʁavajœʁ | tʁavajøz/				fleißig						treballador, treballadora						lavoratore, lavoratrice												Curso::1A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos Portugues::VOC Portugues::VOC::Personalidade Vocabulary::People::Description Vocabulary::Personality
sociável	"<img src=""Carly_Strattman_Wall_Sina_GB.JPG"">"	sociável	sociável	/su.si'a.vɛl/	/ sosiˈavɛw /	adj m/f	Que gosta de conviver com outras pessoas.		sociable	/ˈsoʊʃəbəl/	/ˈsəʊʃəbᵊl/	adj	Likely to engage in or enjoy social interaction.		sociable	/'liso/, /'lisa/		adjm, adjf			sociable		/sɔsjabl/				gesellig						sociable						socievole												Curso::1A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos Portugues::Adjetivos::invariavels Portugues::VOC Portugues::VOC::Personalidade Vocabulary::People::Description Vocabulary::Personality
amável		amável	amável	/ɐ.ˈma.vɛɫ/	/ ɐˈmavɛw /	adj m/f	Que é gentil, agradável ou cortês.		lovable	/ˈləvəbəl/	/ˈlʌvəbᵊl/	adj	Easily loved or endearing.		amable							aimable						liebenswert						amable						amabile											Curso::1A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos Portugues::Adjetivos::invariavels Portugues::Livros::1A2_O_Alienista Portugues::VOC Portugues::VOC::Personalidade Vocabulary::People::Description Vocabulary::Personality
audacioso, audaciosa	"<img src=""Sasha_Eating_POtato.gif"">"	audacioso, audaciosa	audacioso, audaciosa	/aw.dɐ.si.ˈo.zu/ ,  /aw.dɐ.si.ˈo.zɐ/	/ awdasiˈɔzu | awdasiˈɔzɐ /	adj m , adj f	"Que demonstra coragem ou ousadia (Com ""A"")."		audacious	/ɔˈdeɪʃəs/	/ɔːˈdeɪʃəs/	adj	Willing to take bold risks; daring.		audaz							audacieux						wagemutig						agasarat						audace											Curso::1A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos Portugues::Livros::1A2_O_Alienista Portugues::VOC Portugues::VOC::Personalidade Vocabulary::People::Description Vocabulary::Personality
bondoso, a (personalidade)	"<img src=""Krista Feeding Sasha.gif"">"	bondoso, bondosa	bondoso, bondosa	/bõ.ˈdo.zu/ ,  /bõ.ˈdo.zɐ/	/ bõˈdɔzu | bõˈdɔzɐ /	adj m , adj f	Que tem bondade ou é generoso.		kind	/ˈkaɪnd/	/ˈkaɪnd/	adj	Considerate and caring toward others.		bondadoso							bienveillant						gütig						bondadós						gentile											Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos Portugues::Livros::1A2_O_Alienista Portugues::VOC Portugues::VOC::Personalidade Vocabulary::People::Description Vocabulary::Personality
calmo, calma	"<img src=""SNK Beach.jpg"">"	calmo, calma	calmo, calma	/ˈkaɫ.mu/ ,  /ˈkaɫ.mɐ/	/ ˈkawmu | ˈkawmɐ /	adj m , adj f	Que está tranquilo ou sereno.		calm	/ˈkɑm/	/ˈkɑːm/	adj	Free from agitation or strong emotion.		calm							tranquille						ruhig						calma						calmo											Curso::1A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos Portugues::Livros::1A2_O_Alienista Portugues::VOC Portugues::VOC::Personalidade Vocabulary::People::Description Vocabulary::Personality
confiante (pessoa)	"<img src=""Erwin_01.jpg"">"	confiante	confiante	/kõ.fi.ˈɐ̃.tɨ/	/ kõfiˈɐ̃tʃi /	adj m/f	Que demonstra confiança ou segurança.		confident	/ˈkɑnfədənt/	/ˈkɒnfɪdᵊnt/	adj	Sure of oneself and one's abilities.		seguro/a de sí mismo/a , confiado/a							confiant						selbstbewusst						confident						confidente											Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos Portugues::Adjetivos::invariavels Portugues::Livros::1A2_O_Alienista Portugues::VOC Portugues::VOC::Personalidade Vocabulary::People::Description Vocabulary::Personality
corajoso, corajosa	"<img src=""sasha archer.JPG"">"	corajoso, corajosa	corajoso, corajosa	/ku.ɾɐ.ˈʒo.zu/ ,  /ku.ɾɐ.ˈʒo.zɐ/	/ koɾaˈʒɔzu | koɾaˈʒɔzɐ /	adj m , adj f	"Que possui coragem ou valentia. Com ""C"""		courageous	/kə˞ˈɹeɪdʒəs/	/kəˈreɪdʒəs/	adj	Possessing bravery or determination.		valiente							courageux						mutig						valent						coraggioso											Curso::1A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos Portugues::Livros::1A2_O_Alienista Portugues::VOC Portugues::VOC::Personalidade Vocabulary::People::Description Vocabulary::Personality
determinado, determinada		determinado, determinada	determinado, determinada	/dɨ.tɨɾ.mi.ˈna.du/ ,  /dɨ.tɨɾ.mi.ˈna.dɐ/	/ deteʁmiˈnadu | deteʁmiˈnadɐ /	adjm, adjf	Que tem determinação ou firmeza.		determined	/dɪˈtɜ˞mənd/	/dɪˈtɜːmɪnd/	adj	Having a strong resolve or purpose.		determinado							déterminé						bestimmt						determinat						determinato											Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos Portugues::Adjetivos::invariavels Portugues::Livros::1A2_O_Alienista Portugues::VOC Portugues::VOC::Personalidade Vocabulary::People::Description Vocabulary::Personality
espontâneo, espontânea		espontâneo, espontânea	espontâneo, espontânea	/ʃ.põ.ˈtɐ.ni.u/ ,  /ʃ.põ.ˈtɐ.ni.ɐ/	/ ispõˈtɐniu | ispõˈtɐniɐ /	adj m , adj f	Que age de forma natural ou sem planejamento.		spontaneous	/spɑnˈteɪniəs/	/spɒnˈteɪniəs/	adj	Acting on impulse or without planning.		espontáneo							spontané						spontan						espontani						spontaneo											Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos Portugues::Livros::1A2_O_Alienista Portugues::VOC Portugues::VOC::Personalidade Vocabulary::People::Description Vocabulary::Personality
inseguro, insegura		inseguro, insegura	inseguro, insegura	/ĩ.sɨ.ˈgu.ɾu/ ,  /ĩ.sɨ.ˈgu.ɾɐ/	/ ĩseˈɡuɾu | ĩseˈɡuɾɐ /	adj m , adj f	Que não tem confiança ou segurança.		insecure	/ˌɪnsɪˈkjʊr/	/ˌɪnsɪˈkjʊə/	adj	Lacking confidence or stability.		inseguro, insegura			adjm, adjf				insécurisé						unsicher						insegur						insicuro											Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos Portugues::Livros::1A2_O_Alienista Portugues::VOC Portugues::VOC::Personalidade Vocabulary::People::Description Vocabulary::Personality
