#separator:tab
#html:true
#tags column:8
PT - Eu tive uma ideia que me pareceu boa.	Eu tive uma ideia que me pareceu boa.	[sound:_pt_eu_tive_uma_ideia_que_me_pareceu_boa..mp3]	"/<span style=""white-space: pre-wrap;"">ˈ<b>ew ˈti</b>.vɨ <b>ˈu.</b>mɐ i.<b>ˈdɐj</b>.ɐ kɨ mɨ pɐ.ɾɨ.<b>ˈsew</b> <b>ˈbo</b>.ɐ.</span>/"	Português (PT)			Portugues::Frases::Passado Portugues::Verbos::Basicos::ter
PT - Ontem jantámos num restaurante japonês.	Ontem jantámos num restaurante japonês.	[sound:_pt_ontem_jantámos_num_restaurante_japonês..mp3]	/<b>ˈõ.</b>tɐ̃j ʒɐ̃.<b>ˈta</b>.muʒ <b>ˈnũ</b> ʁɨʃ.taw.<b>ˈɾɐ̃</b>.tɨ ʒɐ.pu.<b>ˈneʃ</b>./	Português			Portugues::Frases Portugues::Frases::Passado Portugues::Verbos::Basicos::jantar
PT - de ontem para hoje	de ontem para hoje	[sound:_pt_de_ontem_para_hoje.mp3]	/dɨ <b>ˈõ</b>.tɐ̃j pɐ.ɾɐ <b>ˈo.</b>ʒɨ/	Português			Portugues::Frases Portugues::Frases::Passado Portugues::Verbos::Basicos::jantar
PT-BR Ontem à noite você virou um lobisomem.	Ontem à noite você virou um lobisomem.	[sound:_pt_ontem_à_noite_você_virou_um_lobisomem..mp3]	/<b>ˈõ.</b>tɐ̃j à <b>ˈnoj</b>.tɨ vu.<b>ˈse</b> vi.<b>ˈɾo</b> <b>ˈũ</b> ɫu.bi.<b>ˈzo</b>.mɐ̃j./	Português			Portugues::Frases Portugues::Frases::Passado
PT - Ontem assisti um filme	Ontem assisti um filme	[sound:_pt_ontem_assisti_um_filme.mp3]	/<b>ˈõ.</b>tɐ̃j ɐ.sɨʃ.<b>ˈti</b> <b>ˈũ ˈfiɫ</b>.mɨ/	Português			Portugues::Frases Portugues::Frases::Passado
PT-br Deu tudo errado, ele entrou pelo cano	Deu tudo errado, ele entrou pelo cano	[sound:_pt_deu_tudo_errado,_ele_entrou_pelo_cano,.mp3]	/<b>ˈdew</b> <b>ˈtu</b>.du i.<b>ˈʁa</b>.du, <b>ˈe</b>.ɫɨ ẽ.<b>ˈtɾo</b> ˈpe.ɫu <b>ˈkɐ</b>.nu/	Português (Brasil)			Portugues::Frases Portugues::Frases::Passado
PT-BR Esperei muito, mas você não veio.	Esperei muito, mas você não veio.	[sound:_ptbr_esperei_muito,_mas_você_não_veio..mp3]		Português (Brasil)			Portugues::Frases Portugues::Frases::Passado
PT - Ele chegou em segundo lugar	Ele chegou em segundo lugar	[sound:_pt_ele_chegou_em_segundo_lugar_(portugal).mp3]		Português			Portugues::Frases Portugues::Frases::Passado
PT - em direção ao centro da cidade	em direção ao centro da cidade	[sound:_pt_em_direção_ao_centro_da_cidade_(portugal).mp3]		Português			Portugues::Frases
PT - Faça o favor de se sentar aqui	Faça o favor de se sentar aqui	[sound:_pt_faça_o_favor_de_se_sentar_aqui_(portugal).mp3]		Português			Portugues::Frases
PT - Podes ir buscar-me?	Podes ir buscar-me?	[sound:_pt_podes_ir_buscar-me__(portugal).mp3]		Português			Portugues::Frases
PT - Ainda te lembras dele?	Ainda te lembras dele?	[sound:_pt_ainda_te_lembras_dele__(portugal).mp3]		Português			Portugues::Frases
PT - Quanto tempo se terá passado?	Quanto tempo se terá passado?	[sound:_pt_quanto_tempo_se_terá_passado__(portugal).mp3]		Português			Portugues::Frases
PT - Eu escrevi aquele livro	Eu escrevi aquele livro	[sound:_pt_eu_escrevi_aquele_livro_(portugal).mp3]		Português			Portugues::Frases
PT - Por incrível que pareça...	Por incrível que pareça...	[sound:_pt_por_incrível_que_pareça..._(portugal).mp3]		Português			Portugues::Frases
PT - Ele foi para o Brasil e ali permaneceu.	Ele foi para o Brasil e ali permaneceu.	[sound:_pt_ele_foi_para_o_brasil_e_ali_permaneceu..mp3]		Português			Portugues::Frases
PT - Os trabalhadores decidiram entrar em greve	Os trabalhadores decidiram entrar em greve	[sound:_pt_os_trabalhadores_decidiram_entrar_em_greve.mp3]		Português			Portugues::Frases
PT - Ela é sempre pontual.	Ela é sempre pontual.	[sound:_pt_ela_é_sempre_pontual..mp3]		Português			Portugues::Frases
PT - Fazia-me o obséquio de chamar o Director?	Fazia-me o obséquio de chamar o Director?	[sound:_pt_fazia-me_o_obséquio_de_chamar_o_director_.mp3]		Português			Portugues::Frases
PT - Ao mudarem a mesa de lugar, uma das caixas caiu. 	Ao mudarem a mesa de lugar, uma das caixas caiu. 	[sound:_pt_ao_mudarem_a_mesa_de_lugar,_uma_das_caixas_caiu..mp3]		Português			Portugues::Frases
PT -A linguagem é uma porta para o mundo que nos rodeia.	A linguagem é uma porta para o mundo que nos rodeia.	[sound:_pt_a_linguagem_é_uma_porta_para_o_mundo_que_nos_rodeia..mp3]		Português			Portugues::Frases
PT - Ouvi dizer que...	Ouvi dizer que...	[sound:_pt_ouvi_dizer_que....mp3]		Português			Portugues::Frases
PT - Fica onde estás.	Fica onde estás.	[sound:_pt_fica_onde_estás..mp3]		Português			Portugues::Frases
PT - Ainda criança, ele perdeu os pais.	Ainda criança, ele perdeu os pais.	[sound:_pt_ainda_criança,_ele_perdeu_os_pais..mp3]		Português			Portugues::Frases
PT -Nunca consigo prever nada. 	Nunca consigo prever nada. 	[sound:_pt_nunca_consigo_prever_nada..mp3]		Português			Portugues::Frases
PT - Os campeões ganhavam prémios.	Os campeões ganhavam prémios.	[sound:_pt_os_campeões_ganhavam_prémios..mp3]		Português			Portugues::Frases
PT - O que importa é que ela esteja feliz.	O que importa é que ela esteja feliz.	[sound:_pt_o_que_importa_é_que_ela_esteja_feliz..mp3]		Português			Portugues::Frases
PT - Já enviámos as encomendas aos clientes.	Já enviámos as encomendas aos clientes.	[sound:_pt_já_enviámos_as_encomendas_aos_clientes..mp3]		Português			Portugues::Frases
PT - Telefonei para uma amiga.	Telefonei para uma amiga.	[sound:_pt_telefonei_para_uma_amiga..mp3]		Português			Portugues::Frases
PT - Não faço nada por vaidade ou interesse pessoal.	Não faço nada por vaidade ou interesse pessoal.	[sound:_pt_não_faço_nada_por_vaidade_ou_interesse_pessoal..mp3]		Português			Portugues::Frases
PT - O meu vizinho é, como é que hei-de dizer, muito problemático.	O meu vizinho é, como é que hei-de dizer, muito problemático.	[sound:_pt_o_meu_vizinho_é,_como_é_que_hei-de_dizer,_muito_problemático..mp3]		Português			Portugues::Frases
PT - Lisboa foi fundada pelo herói mítico Ulisses, diz a lenda popular.	Lisboa foi fundada pelo herói mítico Ulisses, diz a lenda popular.	[sound:_pt_lisboa_foi_fundada_pelo_herói_mítico_ulisses,_diz_a_lenda_popular..mp3]		Português			Portugues::Frases
PT - É bom saberes a verdade.	É bom saberes a verdade.	[sound:_pt_é_bom_saberes_a_verdade..mp3]		Português			Portugues::Frases
PT - Está a cheirar a gás.	Está a cheirar a gás.	[sound:_pt_está_a_cheirar_a_gás..mp3]		Português			Portugues::Frases
PT - má sorte	má sorte	[sound:_pt_má_sorte.mp3]		Português			Portugues::Frases
PT - Nem tudo o que reluz é ouro.	Nem tudo o que reluz é ouro.	[sound:_pt_nem_tudo_o_que_reluz_é_ouro..mp3]		Português			Portugues::Frases
PT - sempre querer dar a última palavra	sempre querer dar a última palavra	[sound:_pt_sempre_querer_dar_a_última_palavra.mp3]		Português			Portugues::Frases
PT - Tenho saudades da minha família e do meu país	Tenho saudades da minha família e do meu país	[sound:_pt_tenho_saudades_da_minha_família_e_do_meu_país.mp3]		Português			Portugues::Frases
PT - É, porém, um facto...	 É, porém, um facto...	[sound:_pt_é,_porém,_um_facto....mp3]		Português			Portugues::Frases
PT - Façam o favor de repetirem	Façam o favor de repetirem	[sound:_pt_façam_o_favor_de_repetirem.mp3]		Português			Portugues::Frases
PT - Se continuares assim, nunca terás sucesso	Se continuares assim, nunca terás sucesso	[sound:_pt_se_continuares_assim,_nunca_terás_sucesso.mp3]		Português			Portugues::Frases
PT - Sei isso melhor do que ninguém	Sei isso melhor do que ninguém	[sound:_pt_sei_isso_melhor_do_que_ninguém.mp3]		Português			Portugues::Frases
PT - encolheu os ombros	encolheu os ombros	[sound:_pt_encolheu_os_ombros.mp3]		Português			Portugues::Frases
PT - Ela tem uns lindos olhos!	Ela tem uns lindos olhos!	[sound:_pt_ela_tem_uns_lindos_olhos!.mp3]		Português			Portugues::Frases
PT - O que acha que vai acontecer?	O que acha que vai acontecer?	[sound:_pt_o_que_acha_que_vai_acontecer_.mp3]		Português			Portugues::Frases
PT - Não será o fim do mundo	Não será o fim do mundo	[sound:_pt_não_será_o_fim_do_mundo.mp3]		Português			Portugues::Frases
PT - Já não lembro que pergunta lhe fiz	Já não lembro que pergunta lhe fiz	[sound:_pt_já_não_lembro_que_pergunta_lhe_fiz.mp3]		Português			Portugues::Frases
PT - Nunca me passou tal coisa pela cabeça!	Nunca me passou tal coisa pela cabeça!	[sound:_pt_nunca_me_passou_tal_coisa_pela_cabeça!.mp3]		Português			Portugues::Frases
PT - O pior já passou	O pior já passou	[sound:_pt_o_pior_já_passou.mp3]		Português			Portugues::Frases
PT - Nem tudo pode ser como a gente quer	Nem tudo pode ser como a gente quer	[sound:_pt_nem_tudo_pode_ser_como_a_gente_quer.mp3]		Português			Portugues::Frases
PT - Assim fica difícil	Assim fica difícil	[sound:_pt_assim_fica_difícil.mp3]		Português			Portugues::Frases
PT - É importante estares bem calma	É importante estares bem calma	[sound:_pt_é_importante_estares_bem_calma.mp3]		Português			Portugues::Frases
PT - É preciso estudares mais	É preciso estudares mais	[sound:_pt_é_preciso_estudares_mais.mp3]		Português			Portugues::Frases
PT - dentro de umas duas horas	dentro de umas duas horas	[sound:_pt_dentro_de_umas_duas_horas.mp3]		Português			Portugues::Frases
PT - Ganhou tudo, o que não surpreende	Ganhou tudo, o que não surpreende	[sound:_pt_ganhou_tudo,_o_que_não_surpreende.mp3]		Português			Portugues::Frases
PT - Quando é que vais trocar o teu carro novo por um novo carro novo?	Quando é que vais trocar o teu carro novo por um novo carro novo?	[sound:_pt_quando_é_que_vais_trocar_o_teu_carro_novo_por_um_novo_carro_novo_.mp3]		Português			Portugues::Frases
PT - Já conheces esta cantora brasileira?	Já conheces esta cantora brasileira?	[sound:_pt_já_conheces_esta_cantora_brasileira_.mp3]		Português			Portugues::Frases
PT - Que senhor é aquele?	Que senhor é aquele?	[sound:_pt_que_senhor_é_aquele_.mp3]		Português			Portugues::Frases
PT - O trabalho é chato, mas o dinheiro é bom	O trabalho é chato, mas o dinheiro é bom	[sound:_pt_o_trabalho_é_chato,_mas_o_dinheiro_é_bom.mp3]		Português			Portugues::Frases
PT - Um momento, se faz favor.	Um momento, se faz favor.	[sound:_pt_um_momento,_se_faz_favor..mp3]		Português			Portugues::Frases
PT - Ele sentou-se num banco	Ele sentou-se num banco	[sound:_pt_ele_sentou-se_num_banco.mp3]		Português			Portugues::Frases
PT - O livro que lhe ofereci não se vende no Brasil	O livro que lhe ofereci não se vende no Brasil	[sound:_pt_o_livro_que_lhe_ofereci_não_se_vende_no_brasil.mp3]		Português			Portugues::Frases
PT - Já viste nas gavetas?	Já viste nas gavetas?	[sound:_pt_já_viste_nas_gavetas_.mp3]		Português			Portugues::Frases
PT - Meti-me numas embrulhadas!	Meti-me numas embrulhadas!	[sound:_pt_meti-me_numas_embrulhadas!.mp3]		Português			Portugues::Frases
PT - Ponha-se no meu lugar.	Ponha-se no meu lugar.	[sound:_pt_ponha-se_no_meu_lugar..mp3]		Português			Portugues::Frases
PT - Estás bom, pá?	Estás bom, pá?	[sound:_pt_estás_bom,_pá_.mp3]		Português			Portugues::Frases
PT - Está a fazer-se tarde	Está a fazer-se tarde	[sound:_pt_está_a_fazer-se_tarde.mp3]		Português			Portugues::Frases
PT - Que lhe vais oferecer?	Que lhe vais oferecer?	[sound:_pt_que_lhe_vais_oferecer_.mp3]		Português			Portugues::Frases
PT - Que carro compraste?	Que carro compraste?	[sound:_pt_que_carro_compraste_.mp3]		Português			Portugues::Frases
PT - Vai querer saco?	Vai querer saco?	[sound:_pt_vai_querer_saco_.mp3]		Português			Portugues::Frases
PT - O que é isto	O que é isto	[sound:_pt_o_que_é_isto.mp3]		Português			Portugues::Frases
PT -  O senhor fala português?	 O senhor fala português?	[sound:_pt_o_senhor_fala_português_.mp3]		Português			Portugues::Frases
PT - Falas português?	Falas português?	[sound:_pt_falas_português_.mp3]		Português			Portugues::Frases
PT - Você fala português?	Você fala português?	[sound:_pt_você_fala_português_.mp3]		Português			Portugues::Frases
PT - Tudo que se ganha nessa vida é pra perder	Tudo que se ganha nessa vida é pra perder	[sound:_pt_tudo_que_se_ganha_nessa_vida_é_pra_perder.mp3]		Português			Portugues::Frases
PT - fado português	fado português	[sound:_pt_fado_português.mp3]		Português			Portugues::Frases
PT - à beira rio	à beira rio	[sound:_pt_à_beira_rio.mp3]		Português			Portugues::Frases
PT - esqueceste-te	esqueceste-te	[sound:_pt_esqueceste-te.mp3]		Português			Portugues::Frases
PT - E novamente este autocarro vai mais depressa do que aquele automóvel	E novamente este autocarro vai mais depressa do que aquele automóvel	[sound:_pt_e_novamente_este_autocarro_vai_mais_depressa_do_que_aquele_automóvel.mp3]		Português			Portugues::Frases
PT - A Ana ama Angola e não ama Moçambique	A Ana ama Angola e não ama Moçambique	[sound:_pt_a_ana_ama_angola_e_não_ama_moçambique.mp3]		Português			Portugues::Frases
PT - quem me dera ser	quem me dera ser	[sound:_pt_quem_me_dera_ser.mp3]		Português			Portugues::Frases
PT - pôr-se bonito	pôr-se bonito	[sound:_pt_pôr-se_bonito.mp3]		Português			Portugues::Frases
PT - com muito gosto	com muito gosto	[sound:_pt_com_muito_gosto.mp3]		Português			Portugues::Frases
PT - se tivéssemos tido	se tivéssemos tido	[sound:_pt_se_tivéssemos_tido.mp3]		Português			Portugues::Frases
PT -(que) diz respeito	(que) diz respeito	[sound:_pt_(que)_diz_respeito.mp3]		Português			Portugues::Frases
