#separator:tab
#html:true
#tags column:52
toalha de mesa	"<img src=""_mantel.JPG"">"	toalha de mesa	a toalha de mesa	/ɐ tuˈaʎɐ dɨ ˈmɛzɐ/	/a toˈaʎɐ dʒi ˈmɛzɐ/	sf	Pano usado para cobrir e decorar mesas.		tablecloth	/ˈteɪbəlˌklɔθ/	/ˈteɪbᵊlklɒθ/	n	A cloth used to cover a table.		mantel	/manˈtel/	/manˈtel/				nappe		/nap/				Tischdecke						estovalles						tovaglia												Curso::1A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::Falso_Amigo Portugues::VOC Portugues::VOC::Casa::Cozinha::Utensílios Portugues::VOC::Casa::Tarefas_domésticas Vocabulary::House
tapete	"<img src=""_tapete_alfombra_rug.JPG"">"	tapete	o tapete	/u tɐ.ˈpe.tɨ/	/ u taˈpɛtʃi /	sm	Peça de tecido usada para cobrir o chão.		carpet	/ˈkɑrpət/	/ˈkɑːpɪt/	n			alfombra						tapis						Teppich						catifa						tappeto												Curso::1A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC Portugues::VOC::Casa Portugues::VOC::Casa::Quarto_de_Dormir Portugues::VOC::Casa::Sala_de_estar Vocabulary::House
convidar	"<img src=""Funeral Sawne and Bean.jpg"">"	convidar	convidar	/kõviˈdaɾ/	/kõviˈdaʁ/	v	Fazer um convite para participar de algo.		invite	/ɪnˈvaɪt/	/ɪnˈvaɪt/	v	To ask someone to join or attend an event or activity.		invitar	/imbiˈtaɾ/	/imbiˈtaɾ/	v			inviter		/ɛ̃vite/		v		einladen		/ˈaɪ̯nlaːdn̩/				convidar						invitare	/inviˈtare/											Curso::1A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Portugues::Conjugacao Portugues::Verbos Portugues::VOC Portugues::VOC::Pessoas::Tempo_livre Portugues::VOC::Verbos Vocabulary::Activities
ator, atriz	"<img src=""_10_Theater_Play_Stage.JPG"">"	ator, atriz	o ator, a atriz	/u ɐˈtoɾ | ɐ ɐˈtɾiʃ/	/u aˈtoʁ | a aˈtɾiʃ/	sm, sf	Profissional que interpreta papéis em teatro, cinema ou televisão.		actor, actress	/ˈæktə˞ | ˈæktɹəs/	/ˈæktə | ˈæktrəs/	n	A person who performs in plays, movies, or television shows.		actor, actriz						acteur, actrice						Schauspieler, Schauspielerin						actor, actriu						attore, attrice												arreglar Curso::1A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::VOC Portugues::VOC::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
cantor, a	"<img src=""_cantora-d268ad14a5f9bfb313b2e330e3f6597b9ca497e1.JPG"">"	cantor, cantora	o cantor, a cantora	/u kɐ̃ˈtoɾ | ɐ kɐ̃ˈtɔɾɐ/	/u kɐ̃ˈtoʁ | a kɐ̃ˈtɔɾɐ/	sm / sf	pessoa que utilza a voz para interpretar uma música. <!--Artista que canta músicas como profissão.-->		singer	/ˈsɪŋə˞/	/ˈsɪŋə/	n	A person who performs songs using their voice.		cantante						chanteur, chanteuse						Sänger, Sängerin						cantant						cantante												Curso::1A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::VOC Portugues::VOC::Trabalho::Profissoes Portugues::VOC::Tricky Vocabulary::Sing Vocabulary::Theater Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
maestro,trina	"<img src=""_maestro_director_orquesta.JPG""><img src=""_maestrina-c00f1911ae28953968bec15b38a4cfb3fc71b2f7.JPG"">"	maestro, maestrina	o maestro, a maestrina	/u mɐˈɛʃtɾu | ɐ mɐiʃˈtɾinɐ/	/u maˈɛstɾu | a maisˈtɾinɐ/	sm / sf	O responsável por dirigir uma orquestra ou coro.		conductor	/kənˈdəktə˞/	/kənˈdʌktə/	n	A person who directs an orchestra, choir, or other musical ensemble.		director, directora de orquesta						chef d’orchestre						Dirigent, Dirigentin						director, directora d'orquestra						direttore, direttrice d'orchestra												Curso::1A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::Falso_Amigo Portugues::VOC Portugues::VOC::Trabalho::Profissoes Vocabulary::Carreer Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
realizador, a (cinema)	"<img src=""_diretora_de_cinema.JPG""><img src=""_realizador.JPG"">"	realizador, realizadora (de cinema, de televisão)	o realizador, a realizadora	/u ʁiɐlizɐˈdoɾ | ɐ ʁiɐlizɐˈdɔɾɐ | dɨ siˈnɛmɐ | dɨ tɨlɨviˈzɐ̃w̃ /	/u ʁializaˈdoʁ | a ʁializaˈdɔɾɐ | dɨ siˈnɛmɐ | dɨ tɨlɨviˈzɐ̃w̃ |/	sm / sf	Dirige os atores num filme (em Portugal)		film director	/ˈfɪlm də˞ˈɹɛktə˞/	/ˈfɪlm daɪˈrektə/	n	A person responsible for the artistic and technical aspects of a film.		director, directora de cine						réalisateur, réalisatrice						Regisseur, Regisseurin						director, directora de cinema						regista												Curso::1A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::Falso_Amigo Portugues::VOC Portugues::VOC::Trabalho::Profissoes Vocabulary::Film Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
cinema (arte)	"<img src=""_cinema-91a3161effa80ed7e3acef4928b948eb7041de7a.JPG""><img src=""_cinema_.JPG"">"	cinema	o cinema	/u siˈnɛmɐ/	/u siˈnɛmɐ/	sm	Arte ou indústria de produção de filmes; sala de projeção de filmes.		cinema	/ˈsɪnəmə/	/ˈsɪnəmə/				cine						cinéma						Kino						cinema						cinema	/ˈtʃinema/											Curso::1A2 Curso::2A2 Curso::2A2::U3-Como-Era-a-Tua-Escola Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Portugues::Ortografia Portugues::Ortografia::Sibilantes Portugues::VOC Portugues::VOC::Cidade::Locais Portugues::VOC::Pessoas::Tempo_livre Vocabulary::City Vocabulary::Film Vocabulary::Work_n_Career::Workplace
teatro	"<img src=""_10_Theater_Play_Stage.JPG"">"	teatro	o teatro	/u tiˈatɾu/	/u tʃiˈatɾu/	sm	Local onde se apresentam peças ou espetáculos cênicos.		theater	/ˈθiətə˞/	/ˈθɪətə/	n	A place where plays, films, or other performances take place.		teatro						théâtre						Theater						teatre						teatro	/teˈatro/											Curso::1A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::Mesma_palavra_em_Espanhol Portugues::VOC Portugues::VOC::Cidade::Locais Vocabulary::City Vocabulary::Work_n_Career::Workplace
desempregado,a	"<img src=""_desempregada.JPG"">"	desempregado, desempregada	o desempregado, a desempregada	/u dɨzẽpɾɨˈɡadu | ɐ dɨzẽpɾɨˈɡadɐ/	/u dezẽpɾeˈɡadu | a dezẽpɾeˈɡadɐ/	sm, sf	Aquele que está sem trabalho ou emprego.		unemployed	/ˌənɪmˈplɔɪd/	/ˌʌnɪmˈplɔɪd/	adj	Describing someone who does not have a job.		desempleado, desempleada						chômeur, chômeuse						Arbeitsloser, Arbeitslose						aturat, aturada						disoccupato, disoccupata												Curso::2A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::Falso_Amigo Portugues::VOC Portugues::VOC::Trabalho Portugues::VOC::Trabalho::Profissoes Vocabulary::Profession Vocabulary::Work_n_Career::Profession
estilísta (Voc-Cards-Special)	"<img src=""_estilista.JPG"">"	estilísta	o/a estilista	/ˈɔɐ ʃtiˈliʃtɐ/	/ˈɔɐ istʃiˈlistɐ/	s m/f	Profissional que cria, desenha ou seleciona roupas e acessórios, atuando na moda.		stylist	/ˈstaɪlɪst/	/ˈstaɪlɪst/				diseñador de ropa						styliste						Stylist						estilista						stilista												Curso::1A2 Curso::2A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Portugues::Adjetivos Portugues::Falso_Amigo Portugues::VOC Portugues::VOC::Trabalho Portugues::VOC::Trabalho::Profissoes Vocabulary::People::Description
