ID (FIELDS)	image	pt_word	pt_word_art	pt_ipa_PT	pt_ipa_BR	pt_type_gender	pt_notes	pt_marker	en_word	en_ipa_US	en_ipa_UK	en_type	en_notes	en_marker	es_word	es_ipa_ES	es_IPA_LA	es_type_gender	es_notes	es_marker	fr_word	fr_word_art	fr_ipa	fr_type_gender	fr_notes	fr_marker	de_word	de_word_art	de_ipa	de_type_gender	de_notes	de_marker	val_word	val_ipa	cat_ipa	val_type_gender	val_notes	val_marker	it_word	it_ipa	it_gender	it_notes	it_marker	en_pron	pt_pron	es_pron	fr_pron	de_pron	it_pron	val_pron	Portugues::Vocabulario::Animais Tags Vocabulary::Animals Vocabulary::Animals::Basic
caingá	Caingá candeia, é o matita-pereira	caingá	caingá					Caingá candeia, é o matita-pereira																																											
matita-pereira	Caingá candeia, é o matita-pereira	matita-pereira	matita-pereira					Caingá candeia, é o matita-pereira																																											
candeia	Caingá candeia, é o matita-pereira	candeia	candeia					Caingá candeia, é o matita-pereira																																											
canseira	Das águas de março, é o fim da canseira	canseira	canseira					Das águas de março, é o fim da canseira																																											
conversa	É a chuva chovendo, é conversa ribeira	conversa	conversa					É a chuva chovendo, é conversa ribeira																																											
ribeira	É a chuva chovendo, é conversa ribeira	ribeira	ribeira					É a chuva chovendo, é conversa ribeira																																											
garrafa de cana	É a garrafa de cana, o estilhaço na estrada	garrafa de cana	garrafa de cana					É a garrafa de cana, o estilhaço na estrada																																											
estilhaço	É a garrafa de cana, o estilhaço na estrada	estilhaço	estilhaço					É a garrafa de cana, o estilhaço na estrada																																											
lenha	É a lenha, é o dia, é o fim da picada	lenha	lenha					É a lenha, é o dia, é o fim da picada																																											
picada	É a lenha, é o dia, é o fim da picada	picada	picada					É a lenha, é o dia, é o fim da picada																																											
tijolo	É a luz da manha, é o tijolo chegando	tijolo	tijolo					É a luz da manha, é o tijolo chegando																																											
laço	É a noite, é a morte, é um laço, é o anzol	laço	laço					É a noite, é a morte, é um laço, é o anzol																																											
anzol, anzois	É a noite, é a morte, é um laço, é o anzol	anzol, anzois	anzol, anzois					É a noite, é a morte, é um laço, é o anzol																																											
promessa	É a promessa de vida no teu coração	promessa	promessa					É a promessa de vida no teu coração																																											
viga	É a viga, é o vão, festa da cumeeira	viga	viga					É a viga, é o vão, festa da cumeeira																																											
vão	É a viga, é o vão, festa da cumeeira	vão	vão					É a viga, é o vão, festa da cumeeira																																											
cumeeira, festa da cumeeira	É a viga, é o vão, festa da cumeeira	cumeeira, festa da cumeeira	cumeeira, festa da cumeeira					É a viga, é o vão, festa da cumeeira																																											
madeira	É madeira de vento, tombo da ribanceira	madeira	madeira					É madeira de vento, tombo da ribanceira																																											
enguiçado	É o carro enguiçado, é a lama, é a lama	enguiçado	enguiçado					É o carro enguiçado, é a lama, é a lama																																											
poço	É o fundo do poço, é o fim do caminho	poço	poço					É o fundo do poço, é o fim do caminho																																											
o queira ou não queira	É o mistério profundo, é o queira ou não queira	o queira ou não queira	o queira ou não queira					É o mistério profundo, é o queira ou não queira																																											
pau, paus	É o pau, é a pedra, é o fim do caminho	pau, paus	pau, paus					É o pau, é a pedra, é o fim do caminho																																											
estradeira	É o pé, é o chão, é a marcha estradeira	estradeira	estradeira					É o pé, é o chão, é a marcha estradeira																																											
marcha	É o pé, é o chão, é a marcha estradeira	marcha	marcha					É o pé, é o chão, é a marcha estradeira																																											
projeto da casa	É o projeto da casa, é o corpo na cama	projeto da casa	projeto da casa					É o projeto da casa, é o corpo na cama																																											
vetando	É o vento vetando, é o fim da ladeira	vetando	vetando					É o vento vetando, é o fim da ladeira																																											
ladeira	É o vento vetando, é o fim da ladeira	ladeira	ladeira					É o vento vetando, é o fim da ladeira																																											
pedra	É pau, é pedra, é o fim do caminho	pedra	pedra					É pau, é pedra, é o fim do caminho																																											
peroba	É peroba no campo, é o nó da madeira	peroba	peroba					É peroba no campo, é o nó da madeira																																											
