ID (FIELDS)	image	pt_word	pt_word_art	pt_ipa_PT	pt_ipa_PT	pt_type_gender	pt_notes	pt_marker	en_word	en_ipa_US	en_ipa_UK	en_type	en_notes	en_marker	es_word	es_ipa_ES	es_IPA_LA	es_type_gender	es_notes	es_marker	fr_word	fr_word_art	fr_ipa	fr_type_gender	fr_notes	fr_marker	de_word	de_word_art	de_ipa	de_type_gender	de_notes	de_marker	val_word	val_ipa	cat_ipa	val_type_gender	val_notes	val_marker	it_word	it_ipa	it_gender	it_notes	it_marker	en_pron	pt_pron	es_pron	fr_pron	de_pron	it_pron	val_pron	Tags
Não		Não	Não	/nɐ̃w̃/	/nɐ̃w̃/	adv			No						No						Non						Nein						No						No												Portugues::Curso::1A2 Portugues::Frases::Basicas
Sim		Sim	Sim	/sĩ/	/sĩ/	adv			Yes						Sí						Oui						Ja						Sí						Sì												Portugues::Curso::1A2 Portugues::Frases::Basicas
Obrigada, Obrigado		Obrigada, Obrigado	Obrigada, Obrigado	/u.bɾi.ˈɡa.dɐ/, /u.bɾi.ˈɡa.du/	/u.bri.ˈɡa.dɐ/, /u.bri.ˈɡa.du/	exp			Thank you (a=female, o=male)						Gracias						Merci						Danke						Gràcies						Grazie												Portugues::Curso::1A2 Portugues::Frases::Basicas
De nada		De nada	De nada	/dɨ ˈna.ðɐ/	/dɨ ˈna.dɐ/	exp			You&#x27;re welcome						De nada																																				Portugues::Curso::1A2 Portugues::Frases::Basicas
Bom dia		Bom dia	Bom dia	/bõj ˈdi.ɐ/	/bõw̃ ˈd͡ʒi.ɐ/	exp			Good morning						Buenos días						Bonjour						Guten Morgen						Bon dia						Buongiorno												Portugues::Curso::1A2 Portugues::Frases::Basicas
Boa tarde		Boa tarde	Boa tarde	/buɐ̯ ˈtaɾ.ðɨ/	/bo.ɐ ˈtaʁ.dʒi/	exp			Good afternoon						Buenas tardes						Bon après-midi						Guten Tag						Bona vesprada						Buon pomeriggio												Portugues::Curso::1A2 Portugues::Frases::Basicas
Boa noite		Boa noite	Boa noite	/buɐ̯ ˈnɔi.tɨ/	/bo.ɐ ˈnɔi.t͡ʃi/	exp			Good evening/night						Buenas noches						Bonsoir						Gute Nacht						Bona nit						Buona serata / Buona notte												Portugues::Curso::1A2 Portugues::Frases::Basicas
Olá		Olá	Olá	/o.ˈla/	/o.ˈla/	exp			Hello						Hola						Bonjour						Hallo						Hola						Ciao												Portugues::Curso::1A2 Portugues::Frases::Basicas
Até logo		Até logo	Até logo	/ɐtɛ ˈlo.ɡu/	/aˈte lo.ɡu/	exp			See you later						Hasta luego						À bientôt						Bis später						Fins aviat						A presto												Portugues::Curso::1A2 Portugues::Frases::Basicas
Adeus		Adeus	Adeus	/ɐˈdɐw̃ʃ/	/aˈdewʃ/	exp			Goodbye						Adiós						Au revoir						Auf Wiedersehen						Adéu						Addio												Portugues::Curso::1A2 Portugues::Frases::Basicas
Desculpe		Desculpe	Desculpe	/dɨʃ.ˈkul.pɨ/	/dɛs.ˈkul.pi/	exp			Excuse me						Disculpe						Excusez-moi						Entschuldigung						Disculpeu						Scusate												Portugues::Curso::1A2 Portugues::Frases::Basicas
Faz favor / Por favor		Faz favor / Por favor	Faz favor / Por favor	/fas fa.ˈvoɾ/, /puɾ fa.ˈvoɾ/	/fas fa.ˈvoʁ/, /puʁ fa.ˈvoʁ/	exp			Please						Por favor						S&#x27;il vous plaît						Bitte						Si us plau						Per favore												Portugues::Curso::1A2 Portugues::Frases::Basicas
puxe		puxe	puxe	/puʃ/	/ˈpuʃi/	v			pull						tire, jale						tirez						ziehen Sie						tira						tira												Portugues::Curso::1A2 Portugues::Frases::Basicas
empurre		empurre	empurre	/ẽ.&#x27;pu.ʁɨ/	/ẽ.&#x27;pu.ʁi/	v			push						empuje						poussez						drücken Sie						empeny						spingi												Portugues::Curso::1A2 Portugues::Frases::Basicas
fechado		fechado	fechado	/fɨ.ˈʃa.du/	/fe.ˈʃa.du/	adj			closed						cerrado						fermé						geschlossen						tancat						chiuso												Portugues::Curso::1A2 Portugues::Frases::Basicas
aberto		aberto	aberto	/ɐ.ˈbɛɾ.tu/	/ɐ.ˈbɛʁ.tu/	adj			open						abierto						ouvert						geöffnet						obert						aperto												Portugues::Curso::1A2 Portugues::Frases::Basicas
entrada		entrada	a entrada	/ẽ.ˈtɾa.dɐ/	/ẽ.ˈtɾa.dɐ/	sf			entrance						entrada						entrée						Eingang						entrada						ingresso												Portugues::Curso::1A2 Portugues::Frases::Basicas
saída		saída	a saída	/ˈsa.i.dɐ/	/ˈsa.i.dɐ/	sf			exit						salida						sortie						Ausgang						eixida						uscita												Portugues::Curso::1A2 Portugues::Frases::Basicas
Não compreendo		Não compreendo	Não compreendo	/nɐ̃w̃ kõ.pɾɨ.ˈẽdu/	/nɐ̃w̃ kõ.pɾi.ˈẽdu/	v			I don&#x27;t understand						No comprendo						Je ne comprends pas						Ich verstehe nicht						No comprenc						Non capisco												Portugues::Curso::1A2 Portugues::Frases::Basicas
Não percebo		Não percebo	Não percebo	/nɐ̃w̃ pɨɾ.ˈsɛ.bu/	/nɐ̃w̃ peʁ.ˈsɛ.bu/	v			I don&#x27;t get it						No entiendo						Je ne saisis pas						Ich verstehe nicht						No entenc						Non capisco												Portugues::Curso::1A2 Portugues::Frases::Basicas
