ID (FIELDS)	image	pt_word	pt_word_art	pt_ipa_PT	pt_ipa_BR	pt_type_gender	pt_notes	pt_marker	en_word	en_ipa_US	en_ipa_UK	en_type	en_notes	en_marker	es_word	es_ipa_ES	es_IPA_LA	es_type_gender	es_notes	es_marker	fr_word	fr_word_art	fr_ipa	fr_type_gender	fr_notes	fr_marker	de_word	de_word_art	de_ipa	de_type_gender	de_notes	de_marker	val_word	val_ipa	cat_ipa	val_type_gender	val_notes	val_marker	it_word	it_ipa	it_gender	it_notes	it_marker	en_pron	pt_pron	es_pron	fr_pron	de_pron	it_pron	val_pron	tags
moçambicano, moçambicana		moçambicano, moçambicana	o moçambicano, a moçambicana	/u musɐ̃biˈkɐnu | ɐ musɐ̃biˈkɐnɐ/	/u mosɐ̃biˈkɐnu | a mosɐ̃biˈkɐnɐ/	sm / sf	Pessoa natural de Moçambique.		Mozambican	/ˌmoʊzəmˈbikən/	/ˌməʊzəmˈbiːkən/	adj	Relating to Mozambique, its people, or culture.		mozambiqueño, mozambiqueña	/moθam&#x27;bikeɲo/, /moθam&#x27;bikeɲa/		adjm, adjf			mozambicain, mozambicaine						Mosambikaner, Mosambikanerin						moçambiquès, moçambiquesa						mozambicano, mozambicana												Lugares::Lusofonos Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Nacionalidade Vocabulary::Nationality Vocabulary::People::Nationality
músculos	<img src="_musculos_muscles.JPG">	músculos	os músculos	/uʒ ˈmuʃkuluʃ/	/uʒ ˈmuskulus/	smp	Órgãos responsáveis pelo movimento do corpo.		muscles	/ˈməsəlz/	/ˈmʌsᵊlz/	nfp	Tissue that produces movement in the body by contracting.		músculos						muscles						Muskeln						músculs						muscoli												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo Portugues::Vocabulario::Corpo::Iterno Portugues::Vocabulario::Saude Vocabulary::Body
pescoço	<img src="neck.JPG">	pescoço	o pescoço	/u pɨˈʃkɔsu/	/u pesˈkɔsu/	sm	Parte do corpo que conecta a cabeça ao tronco.		neck	/ˈnɛk/	/ˈnek/	n	The part of the body that connects the head to the torso.		cuello						cou						cou						coll						collo												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Body
norueguês, norueguesa		norueguês, norueguesa	o norueguês, a norueguesa	/u nuɾuɨˈɡeʃ | ɐ nuɾuɨˈɡezɐ/	/u noɾueˈɡes | a noɾueˈɡezɐ/	sm / sf	Referente à pessoa natural da Noruega.		Norwegian	/nɔrˈwidʒən/	/nɔːˈwiːdʒən/	adj	Relating to Norway, its people, or language.		noruego, noruega	/noˈɾweɣo/, /noˈɾweɣa/		adjm, adjf			norvégien, norvégienne			/nɔʁveʒjɛ̃/, /nɔʁveʒjɛn/			Norweger, Norwegerin						noruec, noruega						norvegese												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Nacionalidade Vocabulary::Nationality Vocabulary::People::Nationality
nariz	<img src="_nariz.JPG">	nariz	o nariz	/u nɐˈɾiʃ/	/u naˈɾiʃ/	sm	Órgão responsável pela respiração e olfato.		nose	/ˈnoʊz/	/ˈnəʊz/	n	The part of the face used for breathing and smelling.		nariz						nez						Nase						nas						naso												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo Portugues::Vocabulario::Corpo::Rostro Portugues::Vocabulario::Saude Vocabulary::Body
almofada	<img src="_almofada_almohada.JPG">	almofada	a almofada	/ɐ aɫmuˈfadɐ/	/a awmoˈfadɐ/	sf	Objeto macio usado para apoiar a cabeça ou decorar sofás.		pillow	/ˈpʰɪloʊ/	/ˈpʰɪləʊ/	n	A soft object used to support the head while sleeping.		almohada						oreiller						Kissen						coixí						cuscino												Portugues::Curso::1A2 Portugues::Vocabulario::Casa Portugues::Vocabulario::Casa::Quarto_de_Dormir Portugues::Vocabulario::Casa::Tarefas_domésticas::Roupa_de_cama Vocabulary::House
português, portuguesa		português, portuguesa	o português, a portuguesa	/u puɾtuˈɡeʃ | ɐ puɾtuˈɡezɐ/	/u poʁtuˈɡes | a poʁtuˈɡezɐ/	sm / sf	Referente à pessoa natural de Portugal.		Portuguese	/ˌpɔrtʃəˈɡiz/	/ˌpɔːtʃəˈɡiːz/	adj	Relating to Portugal, its people, or language.		portugués, portuguesa	/poɾtu&#x27;ɣes/, /poɾtu&#x27;ɣesa/		adjm, adjf			portugais, portugaise			/pɔʀtygɛ/, /pɔʀtygɛz/			Portugiese, Portugiesin						portuguès, portuguesa						portoghese												Lugares::Lusofonos Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Nacionalidade Vocabulary::Nationality Vocabulary::People::Nationality
aparelho reprodutor	<img src="_aparelho_reprodutor_reproductory_system.JPG">	aparelho reprodutor	o aparelho reprodutor	/u ɐpɐˈɾɐʎu ʁɨpɾuduˈtoɾ/	/u apaˈɾeʎu ʁepɾoduˈtoʁ/	sm	Sistema de órgãos envolvidos na reprodução.		reproductive system	/ˌɹipɹəˈdəktɪv ˈsɪstəm/	/ˌriːprəˈdʌktɪv ˈsɪstəm/	n	The group of organs involved in reproduction.		sistema reproductor						système reproducteur						Fortpflanzungssystem						sistema reproductor						sistema riproduttivo												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo Portugues::Vocabulario::Corpo::Iterno Vocabulary::Body
russo, russa		russo, russa	o russo, a russa	/u ˈʁusu | ɐ ˈʁusɐ/	/u ˈʁusu | a ˈʁusɐ/	sm / sf	Referente à pessoa oriunda da Rússia.		Russian	/ˈɹəʃən/	/ˈrʌʃən/	adj	Relating to Russia, its people, or language.		ruso, rusa	/ˈru.so/, /ˈru.sa/		adjm, adjf			russe, russe			/ʀys/			Russe, Russin						rus, russa						russo, russa												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Nacionalidade Vocabulary::Nationality Vocabulary::People::Nationality
são-tomense		são-tomense	o/a são-tomense	/ˈɔɐ ˈsɐ̃w̃tumẽsɨ/	/ˈɔɐ ˈsɐ̃w̃tumẽsi/	s m/f	Referente à pessoa de São Tomé e Príncipe.		São Toméan	/ˈsaʊ #Toméan#/	/#São# #Toméan#/	adj	Relating to São Tomé and Príncipe, its people, or culture.		santomense	/san.to&#x27;meɲo/		adjm, adjf			santomerien			/sɑ̃tɔmeɛ̃/, /sɑ̃tɔmeɛn/			São-Tomer						santomense						santomense												Lugares::Lusofonos Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Nacionalidade Vocabulary::Nationality Vocabulary::People::Nationality
