mestrado		mestrado	o mestrado			sm	Estudo de pós-graduação que segue a licenciatura e antecede o doutorado.		master's degree			n	A postgraduate study that follows a bachelor's degree and precedes a doctorate.		maestría						master						Master						màster						master
maestria		maestria	a maestria			sf	Habilidade ou excelência em determinada área.		mastery			n	Skill or excellence in a particular area.		maestría						maîtrise						Meisterschaft						mestria						maestria
apesar		apesar	apesar			adv	Indica concessão ou oposição em relação a algo.		despite			prep	Indicates concession or opposition to something.		a pesar						malgré						trotz						malgrat						nonostante
suspender		suspender	suspender			v	Interromper temporariamente; erguer algo para mantê-lo no ar.		suspend			v	To temporarily interrupt; to lift something to keep it in the air.		suspender						suspendre						suspendieren						suspendre						sospendere
passar		passar	passar			v	Ir de um lugar para outro; transferir algo; aprovar em exame.		pass			v	To go from one place to another; to transfer something; to succeed in an exam.		pasar						passer						übergeben						passar						passare
apaixonar-se		apaixonar-se	apaixonar-se			v	Se apaixonar; enamorarse.		fall in love			exp	To develop romantic feelings for someone.		enamorarse						tomber amoureux						sich verlieben						enamorar-se						innamorarsi
desanuviar		desanuviar	desanuviar			v	Tornar algo mais claro ou livre de preocupações; dissipar nuvens.		clear up			v	To make something clearer or free from worries; to disperse clouds.		despejar						éclaircir						aufklären						desnuvolar						schiarire
desligar		desligar	desligar			v	Interromper o funcionamento de algo; separar conexões.		turn off			v	To stop the operation of something; to disconnect.		apagar						éteindre						ausschalten						apagar						spegnere
relaxar		relaxar	relaxar			v	Reduzir a tensão; descansar; aliviar o stress.		relax			v	To reduce tension; to rest; to relieve stress.		relajarse						se détendre						entspannen						relaxar						rilassarsi
fofo, fofa		fofo, fofa	fofo, fofa			adj m/f	Que é macio, agradável ao toque ou encantador.		cute			adj	Soft, pleasant to the touch, or charming.		tierno, tierna						mignon, mignonne						süß						cuc, cuca						carino, carina
fufa		fufa	fufa			sf	Termo ofensivo para lésbica, deve ser evitado.		dyke			n	An offensive term for a lesbian; should be avoided.		lesbiana (ofensivo)						gouine (offensif)						Lesbe (beleidigend)						bollera (ofensiu)						lesbica (offensivo)
fofoca		fofoca	a fofoca			sf	Conversas ou rumores sobre a vida alheia, muitas vezes sem fundamento.		gossip			n	Conversations or rumors about other people's lives, often unfounded.		chisme						ragots						Klatsch						xafarderia						pettegolezzo
passagens (de avião)		passagens (de avião)	as passagens de avião			sfp	Bilhetes para viajar de avião.		plane tickets			np	Tickets for traveling by airplane.		billetes de avión						billets d'avion						Flugtickets						billets d'avió						biglietti aerei
nível		nível	o nível			sm	Grau ou altura em uma escala; posição hierárquica.		level			n	A degree or height on a scale; a hierarchical position.		nivel						niveau						Stufe						nivell						livello
qualidade		qualidade	a qualidade			sf	Característica ou propriedade de algo; excelência.		quality			n	A characteristic or property of something; excellence.		calidad						qualité						Qualität						qualitat						qualità
canadiana		canadiana	a canadiana			sf	Objeto de apoio usado para caminhar, conhecido como muleta.		crutch			n	A support object used for walking when injured.		muleta						béquille						Krücke						muleta						stampella
habituado, habituada		habituado, habituada	habituado, habituada			adj m/f	Que se acostumou a algo; familiarizado.		accustomed			adj	Being used to something; familiar with.		acostumbrado, acostumbrada						habitué, habituée						gewohnt						habituat, habituada						abituato, abituata
buzinas		buzinas	as buzinas			sfp	Dispositivos sonoros usados em veículos para alertar ou sinalizar.		horns			np	Sound devices used in vehicles for warning or signaling.		claxons						klaxons						Hupen						clàxons						clacson
apitos		apitos	os apitos			smp	Objetos que produzem som agudo ao serem soprados.		whistles			np	Objects that produce a high-pitched sound when blown.		silbatos						sifflets						Pfeifen						xiulets						fischietti
poluída		poluída	poluída			adj f	Que está contaminada ou impura.		polluted			adj	Contaminated or impure.		contaminada						polluée						verschmutzt						contaminada						inquinata
poluição		poluição	a poluição			sf	Contaminação do meio ambiente por substâncias nocivas.		pollution			n			contaminación						pollution						Verschmutzung						contaminació						inquinamento
guiar o carro, conduzir o carro		guiar o carro, conduzir o carro	guiar o carro, conduzir o carro			exp	Dirigir um veículo.		drive			v	To operate a vehicle.		conducir						conduire						fahren						conduir						guidare
guloseima		guloseima	a guloseima			sf	Alimento doce ou apetitoso, geralmente uma sobremesa.		candy			n			golosina						friandise						Leckerei						golosina						dolcetto
rebusado, bala		rebusado, bala	o rebuçado, a bala			sm	Guloseima feita de açúcar em ponto coagulado que se vende geralmente em pequenos pedaços embrulhados em papel ou plástico.		hard candy			n	A small sugar-based sweet.		caramelo						bonbon						Bonbon						caramel						caramella dura
razão		razão	a razão			sf	Capacidade de pensar e compreender; motivo ou causa de algo.		reason			n	The ability to think and understand; a motive or cause for something.		razón						raison						Grund						raó						ragione
ração		ração	a ração			sf	Alimento preparado para animais.		animal feed			n	Food prepared for animals.		piensos						ration						Futter						ració						mangime
a carta de condução		a carta de condução	a carta de condução			sf	Documentação necessária para dirigir um veículo.		driver's license			n	A document required to operate a vehicle.		licencia de conducir						permis de conduire						Führerschein						carnet de conduir						patente di guida
ter jeito		ter jeito	ter jeito			exp	Ter habilidade ou aptidão para algo.		to have a knack for			exp	To have a skill or talent for something.		tener habilidad						avoir du talent						begabt sein						tenir traça						avere talento
jeitoso, jeitosa		jeitoso, jeitosa	jeitoso, jeitosa			adj m/f	Que tem boa aparência ou que é habilidoso.		handsome, skillful			adj	Being good-looking or talented in a skill.		apuesto, habilidoso						joli, adroit						hübsch, geschickt						guapo, destre						affascinante, abile
fazer as coisas com jeito		fazer as coisas com jeito	fazer as coisas com jeito			exp	Fazer algo com cuidado e sensatez.		do things carefully			exp	To do something with care and thoughtfulness.		hacer las cosas con cuidado						faire les choses avec soin						sorgfältig handeln						fer les coses amb cura						fare le cose con attenzione
dar um jeito		dar um jeito	dar um jeito			exp	Encontrar uma solução para um problema.		find a way			exp	To discover a solution to a problem.		encontrar una solución						trouver un moyen						einen Weg finden						trobar una solució						trovare un modo
dar jeito, fazer jeito		dar jeito, fazer jeito	dar jeito, fazer jeito			exp	Ser útil ou conveniente.		be useful			exp	To be helpful or convenient.		ser útil						être utile						nützlich sein						ser útil						essere utile
um jeito no tornozelo		um jeito no tornozelo	um jeito no tornozelo			exp	Torção ou lesão no tornozelo, diferente de uma entorse grave.		twist the ankle			exp	To injure or sprain the ankle, different from a severe sprain.		torcerse el tobillo						se tordre la cheville						sich den Knöchel verstauchen						torçar-se el turmell						torcere la caviglia
santinho!		santinho!	santinho!			int	Expressão usada para desejar saúde a alguém após espirrar.		bless you			exp	An expression used to wish someone well after they sneeze.		¡Jesús!						à vos souhaits						Gesundheit!						salut!						salute!
espirrar		espirrar	espirrar			v	Expulsar ar pelo nariz e boca involuntariamente.		sneeze			v	To expel air involuntarily through the nose and mouth.		estornudar						éternuer						niesen						esternudar						starnutire
espirro		espirro	o espirro			sm	Ato ou som produzido ao espirrar.		sneeze			n	The act or sound of sneezing.		estornudo						éternuement						Niesen						esternut						starnuto
figueira		figueira	a figueira			sf	Árvore que produz figos.		fig tree			n	A tree that produces figs.		higuera						figuier						Feigenbaum						figuera						fico
laranjeira		laranjeira	a laranjeira			sf	Árvore que produz laranjas.		orange tree			n	A tree that produces oranges.		naranjo						oranger						Orangenbaum						taronjer						arancio
