azeitonas	<img src="_azeitonas.JPG">	azeitonas	as azeitonas	Frutos da oliveira usados em saladas ou para extrair óleo.	sf	olives	Small, oval fruits used as food or for oil production.	np	aceitunas	las aceitunas		sfp		ɐz ɐzɐjˈtɔnɐʃ	az azejˈtɔnas		ˈɑlɪvz	ˈɒlɪvz				olive					/ɔliv/	Olive					/oˈliːvə/	oliva						oliva													Livros::2A2-Misterio-da-Maria-Da-Fonte Portugues::1A2 Portugues::1VOC::Alimentos Portugues::1VOC::Alimentos::Legumes Voc::Food Voc::Food::Plant Voc::Food::Vegetables
aconchegar, aconchegar-se a	<img src="_aconchegar-sa_a.JPG">	aconchegar, aconchegar-se a	aconchegar, aconchegar-se a	Aproximar-se de algo ou alguém em busca de conforto.	v	to snuggle up to	To move close for warmth or comfort.	v	acurrucarse contra	acurrucarse contra	Acercarse a alguien o algo en busca de calor o consuelo.	v	<img src="_vamos_aconchegar.JPG">	ɐkõʃɨˈɡaɾ | ɐkõʃɨˈɡaɾsɨ ɐ	akõʃeˈɡaʁ | akõʃeˈɡaʁsi a		tə ˈsnəɡəl ˈəp tu	tə ˈsnʌɡᵊl ˈʌp tu				se blottir contre						sich anschmiegen a						acurrucar-se a						accostarsi a													Curso::2A2 Livros::2A2-Cinco-minutos Livros::2A2-Cinco-minutos::Expressoes Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U3-Maria-Da-Fonte
à beira		à beira	à beira	Estar próximo de algo, física ou figurativamente. Duas palavras. Com "B"	exp	at the edge	Being close to something physically or figuratively.	exp	al borde	al borde	Estar muy cerca de algo, física o figurativamente.	exp	<img src="_kafka_a_beira_mar.JPG"><img src="_uma_familia_a_beira_ataque_nervos.JPG">	ˈa ˈbɐjɾɐ	ˈa ˈbejɾɐ		ət ði ˈɛdʒ	ət ðɪ ˈedʒ				au bord						am Rand						a la vora						al bordo													Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte Portugues::1VOC::DONE::Musicas::Arraial-Triste Portugues::Frases::A Portugues::Frases::Beira Voc::My_Choice
alcachofra, alcachofras	<img src="_alcachofra_alcachofas.JPG">	alcachofra, alcachofras	a alcachofra, as alcachofras	Flor comestível usada em pratos mediterrâneos.	sf / sfp	artichoke	A green vegetable with a layered, spiny exterior and tender heart.	n	alcachofa	la alcachofa, las alcachofas		sf/sfp		ɐ aɫkɐˈʃɔfɾɐ | ɐz aɫkɐˈʃɔfɾɐʃ	a awkaˈʃɔfɾɐ | az awkaˈʃɔfɾas		ˈɑrtəˌtʃoʊk	ˈɑːtɪtʃəʊk				artichaut					/aʁtiʃo/	Artischocke					/artiˈʃɔkə/	alcalxofa						carciofo													Livros::2A2-Misterio-da-Maria-Da-Fonte Portugues::1A2 Portugues::1VOC::Alimentos Portugues::1VOC::Alimentos::Legumes Voc::Food Voc::Food::Plant Voc::Food::Vegetables
alcaparras	<img src="_alcaparras.JPG">	alcaparras	as alcaparras	Pequenos botões florais usados como condimento.	sfp	capers	Small, pickled flower buds used as a seasoning or garnish.	np	alcaparras	las alcaparras		sfp		ɐz aɫkɐˈpaʁɐʃ	az awkaˈpaʁas		ˈkʰeɪpə˞z	ˈkʰeɪpəz				câpre					/kapʁ/	Kapern					/ˈkaːpɐn/	alcaparra						capperi													Livros::2A2-Misterio-da-Maria-Da-Fonte Portugues::1A2 Portugues::1VOC::Alimentos Portugues::1VOC::Alimentos::Legumes Voc::Food Voc::Food::Plant Voc::Food::Vegetables
aldeia	&lt;img src="_aldeia_Alegrete.JPG"&gt;	aldeia	a aldeia	Povoação rural com poucos habitantes, inferior à&amp;nbsp;vila,	sf	village	A small rural settlement smaller than a town.	n	aldea	la aldea		sf		ɐ aɫˈdɐjɐ	a awˈdejɐ		ˈvɪlɪdʒ	ˈvɪlɪdʒ				aldea	la aldea				Poblado rural con pocos habitantes, más pequeño que una villa.	Dorf					/ˈdɔrf/	alqueria						paese, villaggio					/paˈeze/								Curso::2A2 Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte Portugues::1VOC::2A2::U5-Eu-Ja-Tinha-Visto Portugues::1VOC::2A2::U5-Eu-Ja-Tinha-Visto::Estrada-Nacional Portugues::1VOC::Cidade::Locais Voc::Places::Human
amêndoa, amêndoas	<img src="almonds-1768792_640.jpg">	amêndoa, amêndoas	a amêndoa, as amêndoas	Sementes comestíveis da amendoeira.	sfp	almonds	Edible seeds from the almond tree.	np	almendra	la almendra, las almendras		sfp		ɐ ɐˈmẽduɐ | ɐz ɐˈmẽduɐʃ	a ɐˈmẽduɐ | az ɐˈmẽduas		ˈɑməndz	ˈɑːməndz				amandes					/amɑ̃d/	Mandeln					/ˈmandl̩n/	ametlles						mandorle													Livros::2A2-Misterio-da-Maria-Da-Fonte Portugues::1A2 Voc::Food::PT-Nozes
aflito, aflita	<img src="_sensible.JPG">	aflito, aflita	aflito, aflita	Que está ansioso, preocupado ou sofrendo.	adj m, adj f	anxious	Feeling worried, anxious, or suffering.	adj	angustiado, angustiada	angustiado, angustiada	Que siente ansiedad o preocupación.	adj m, adj f	Ainda o mês vai a meio já eu 'tou aflito	ɐˈflitu | ɐˈflitɐ	aˈflitu | aˈflitɐ	It's already halfway through the month, and I'm already anxious.	ˈæŋkʃəs	ˈæŋkʃəs																																			English Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
desbruçar	<img src="_desbrucada.JPG">	desbruçar	desbruçar (desbruçada)	Inclinar-se para fora, especialmente de uma janela, para observar algo. Com <b>"D"</b>	v	lean out	To lean out, especially from a window, to observe something.	v	asomarse	asomarse	Inclinarse hacia afuera, especialmente de una ventana, para observar.	v	Janela debruçada para a vida	dɨʒbɾuˈsaɾ | dɨʒbɾuˈsadɐ |	deʒbɾuˈsaʁ | deʒbɾuˈsadɐ |		ˈlin ˈaʊt	ˈliːn ˈaʊt																																			Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U5-Maria-Da-Fonte Portugues::1VOC Portugues::1VOC::DONE::Musicas::No-Teu-Poema Voc::Crazy_Difficult Voc::My_Choice
atordoar, atordoado, atordoada	<img src="_atordoar.JPG">	atordoar, atordoado, atordoada	atordoar, atordoado, atordoada	Deixar alguém confuso ou sem sentidos. Com "A". Estar naquele estado.	v, adj m, adj f	to stun	To confuse or daze someone; to be in a dazed state.	v, adj	aturdir, aturdido, aturdida	aturdir, aturdido, aturdida	Dejar a alguien confundido o aturdido.	v, adj m, adj f		ɐtuɾduˈaɾ | ɐtuɾduˈadu | ɐtuɾduˈadɐ	atoʁdoˈaʁ | atoʁdoˈadu | atoʁdoˈadɐ		tə ˈstən	tə ˈstʌn				étourdir						betäuben						atordir						stordire													Curso::2A2 Livros::2A2-Cinco-minutos Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte
