#separator:tab
#html:true
#tags column:52
10:20 AM + Que horas são?	10:20 AM	Que horas são?	São dez e vinte																																																Curso::1A2 Portugues::Frases::Calendario::Horas::Que_horas_sao?
mexilhão, mexilhões	"<img src=""_mejillones.JPG"">"	mexilhão, mexilhões	o mexilhão, os mexilhões	/u mɨʃiˈʎɐ̃w̃ | uʒ mɨʃiˈʎõj̃ʃ/	/u meʃiˈʎɐ̃w̃ | uʒ meʃiˈʎõj̃s/	sm, smp	Marisco de concha preta, comum em pratos portugueses.		mussel, mussels	/ˈməsəl | ˈməsəlz/	/ˈmʌsᵊl | ˈmʌsᵊlz/	n	A type of shellfish often used as food.		mejillón, mejillones						moule		/mul/				Muschel		/ˈmʊʃl̩/				musclo						cozze												Portugues::Vocabulario::Alimentos Portugues::Vocabulario::Avanzado Vocabulary::Food
cadeira	"<img src=""_cadeira_silla_chair.JPG"">"	cadeira	a cadeira	/ɐ kɐ.ˈdɐj.ɾɐ/	/ a kaˈdejɾɐ /	sf	Móvel com encosto, usado para sentar.		chair	/ˈtʃɛr/	/ˈtʃeə/	n	A piece of furniture for sitting.		silla						chaise						Stuhl						cadira						sedia												Curso::1A2 Portugues::Vocabulario::Casa::Móveis Vocabulary::House
guardar + deitar fora (ant)	antônimo	guardar	deitar fora	/gwaɾ.ˈdaɾ/	/dɐj.ˈtaɾ ˈfo.ɾɐ/																																														Curso::1A2 Portugues::Pares_Palabras::Antônimos
Tanto tempo livre (Exp)	a expressão	Tanto tempo livre	t.... tempo livre	/ˈtɐ̃.tu ˈtẽ.pu ˈɫi.vɾɨ/																																															Curso::1A2
Marcar uma consulta (Exp)	a expressão	Marcar uma consulta	...... uma consulta	/maɾ.ˈkaɾ ˈu.mɐ kõ.ˈsuɫ.tɐ/																																															Curso::1A2 Portugues::Falso_Amigo Portugues::Vocabulario::Saude Vocabulary::Health
Paragem + Paragens (PL)	plural	Paragem	Paragens	/pɐ.ɾɐ.ʒɐ̃j/	/pɐ.ɾɐ.ʒɐ̃jʃ/																																														Curso::1A2 Portugues::Pares_Palabras::Plurais
Gosto + Gostos (PL)	plural	Gosto	Gostos	/ˈgoʃ.tu/	/ˈgoʃ.tuʃ/																																														Curso::1A2 Portugues::Pares_Palabras::Plurais
Profissional (Fem/Masc)	femenino ou masculino	Profissional	Profissional	/pɾu.fis.si.o.ˈnal/	/pɾu.fis.si.o.ˈnal/	profesional																																													Curso::1A2 Portugues::Pares_Palabras::Fem-Mas
transigente + intransigente (Ant)	antônimo	transigente	intransigente	/tɾɐ̃.zɨ.ˈʒẽ.tɨ/	/ĩ.tɾɐ̃.zɨ.ˈʒẽ.tɨ/																																														Curso::1A2 Portugues::Pares_Palabras::Antônimos::Livro_O_Alienista Portugues::Pares_Palabras::Antônimos
bem-disposto, bem-disposta	"<img src=""_bem-disposta_acordar.JPG"">"	bem-disposto, bem-disposta	bem-disposto, bem-disposta	/bɐ̃j-dɨʃ.ˈpoʃ.tu/ ,  /bɐ̃j-dɨʃ.ˈpoʃ.tɐ/	/ bẽdʒisˈpɔstu | bẽdʒisˈpɔstɐ /	adj m/f	Que está de bom humor ou com disposição favorável.	<div>1.&nbsp;Que&nbsp;tem&nbsp;boa&nbsp;disposição&nbsp;ou&nbsp;bom&nbsp;humor.</div><div>2.&nbsp;Que&nbsp;está&nbsp;bem&nbsp;de&nbsp;saúde.</div>	good-spirited	/ˈɡʊdˈspɪrətəd/	/ˈɡʊdˈspɪrɪtɪd/	adj	Optimistic, cheerful, and in a good mood.		con ánimos (salud), alegre						de bonne humeur						fröhlich						bendispost						ben disposto												Portugues::Adjetivos Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Vocabulario::Saude Vocabulary::Health Vocabulary::People::Description Vocabulary::People::Personality
desobediente		desobediente	desobediente	/dɨ.zu.bɨ.di.ˈẽ.tɨ/	/ dezobedʒiˈẽtʃi /	adj m/f	Que não obedece ou segue regras.		disobedient	/ˌdɪsəˈbidiənt/	/ˌdɪsəˈbiːdiənt/	adj	Refusing to follow rules or authority.		desobediente							désobéissant						ungehorsam						desobedient						disobbediente											Portugues::Adjetivos Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Vocabulary::People::Description
