														
absolutely	pron	absolutely							absolutely			adv	Used to emphasize a strong statement or opinion.	I would never see a counselor. I would never go to one if I was having mental health problems. This is an entirely unregulated area, and absolutely anyone can claim to be one. As a result, quality varies hugely. I have seen too many patients who have been further psychologically damaged by seeing purely qualified practitioners. Ready.
advantages	pron	advantages							advantages			nm	Benefits or positive aspects of something.	There are a few screening tests where the advantages outweigh the disadvantages, and they could lead you to have potentially harmful investigations or indeed treatment that you may not have needed. One hears anecdotes about advantages of health checks. One hears anecdotes about people who have fallen out of six-floor windows and did, but I wouldn't try it myself.
anesthetics	pron	anesthetics							anesthetics			nm	Drugs used to induce anesthesia for medical procedures.	I would never have cosmetic surgery. The reason for my reluctance, nothing to do with anesthetics, save these days, but entirely to do with surgery, which should never be undertaken for what you might call soft reasons. It's not that surgery is so dangerous that I would worry about death. Mainly, it's the worry of an infection, which can be very unpleasant.
attar	a fragrant essential oil, typically made from rose petals.	attar of roses							attar			nm	A fragrant essential oil, typically made from rose petals.	a fragrant essential oil, typically made from rose petals.
blister	someone has a blister								blister			nm	A small pocket of fluid on the skin caused by friction or burns.	someone has a blister
broken arm									broken arm			nf	A fracture in one of the bones of the arm.	
bruise	someone has a bruise								bruise			nm	An injury causing discoloration of the skin without breaking it.	someone has a bruise
cholesterol	pron	cholesterol							cholesterol			nm	A fatty substance in blood; high levels can increase health risks.	We all need screening from time to time, but it is not the same as a full health check. Some tests are useful, and others aren’t. For example, a full blood count is a good test to check for any underlying health conditions. However, a cholesterol test is more useful for people with a family history of heart disease. A full health check would involve an unnecessary number of tests, some of which might cause more harm than good.
cold	he has a cold								cold			nm	A common viral infection causing sneezing, coughing, and sore throat.	he has a cold
cosmetic surgery	I would never have cosmetic surgery. The reason for my reluctance, nothing to do with anesthetics, save these days, but entirely to do with surgery, which should never be undertaken for what you might call soft reasons. It's not that surgery is so dangerous that I would worry about death. Mainly, it's the worry of an infection, which can be very unpleasant.								cosmetic surgery			nf	Surgical procedures to improve appearance. With "C". 	
