caixa		caixa	o/a caixa	/ˈɔɐ ˈkajʃɐ/	/ˈɔɐ ˈkajʃɐ/	s m/f	Funcionário que opera a máquina registadora ou cuida das transações financeiras em um estabelecimento.		cashier	/kæˈʃɪr/	/kæʃˈɪə/				cajero						caissier						Kassierer						caixer						cassiere												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
agente (de seguros)	<img src="_insurance_agent.jpg">	agente (de seguros)	o/a agente de seguros	/ˈɔɐ ɐˈʒẽtɨ dɨ sɨˈɡuɾuʃ/	/ˈɔɐ aˈʒẽtʃi dʒi seˈɡuɾus/	s m/f	Profissional que intermedia contratos de seguros entre empresas e clientes.		insurance agent	/ɪnˈʃʊrəns ˈeɪdʒənt/	/ɪnˈʃɔːrəns ˈeɪdʒᵊnt/				agente (de seguros)						agent (d&amp;amp;#x27;assurances)						Versicherungsagent						agent d&amp;amp;#x27;assegurances						agente assicurativo												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
ambulante		ambulante	o/a ambulante	/ˈɔɐ ɐ̃buˈlɐ̃tɨ/	/ˈɔɐ ɐ̃buˈlɐ̃tʃi/	s m/f	Quem vende produtos em ruas e praças, sem ter um ponto fixo de venda.		street vendor						vendedor callejero						vendeur ambulant						Straßenhändler						venedor ambulant						venditore ambulante												Portugues::Curso::2A2 Portugues::Vocabulario::Cancao::Supertrabalhador Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career::Profession
aposentado, aposentada (BR)	&lt;img src=&quot;Its_beem_18_years.JPG&quot;&gt;	aposentado, aposentada	o/a aposentado, a aposentada	/ˈɔɐ ɐpuzẽˈtadu | ɐ ɐpuzẽˈtadɐ/	/ˈɔɐ apozẽˈtadu | a apozẽˈtadɐ/	s m/f	Pessoa que deixou de trabalhar por ter atingido a idade ou por condições específicas e recebe uma pensão. Tmb. jubilado pero não é muito usado.		retired		/ɹɪˈtaɪə˞d/	adj			jubilado, jubilada (BR). En Portugual se usa para funcionarios civiles. En Brasil se usa, en términos generales, para la persona que deja de estar profesional- mente en activo.			adjm, adjf			retraité (BR)						im Ruhestand (BR)						jubilat (BR)						pensionato (BR)												Lugares::Brasil Portugues::Adjetivos Portugues::Curso::1A2 Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Descripçao Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::People::Description Vocabulary::People::Personality Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
artista		artista	o/a artista	/ˈɔɐ ɐɾˈtiʃtɐ/	/ˈɔɐ aʁˈtʃistɐ/	s m/f	Pessoa que se dedica às artes, como pintura, música ou teatro.		artist	/ˈɑːrtɪst/	/ˈɑːtɪst/				artista						artiste						Künstler						artista						artista												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
assistente	<img src="_secretary.jpg">	assistente	o/a assistente	/ˈɔɐ ɐsiˈʃtẽtɨ/	/ˈɔɐ asisˈtẽtʃi/	s m/f	Profissional que auxilia em diversas atividades, como apoio administrativo ou técnico.		assistant						asistente						assistant						Assistent						assistent						assistente												Portugues::Curso::2A2 Portugues::Vocabulario::Cancao::Supertrabalhador Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career::Profession
astronauta		astronauta	o/a astronauta	/ˈɔɐ ɐʃtɾuˈnawtɐ/	/ˈɔɐ astɾoˈnawtɐ/	s m/f	Pessoa treinada para viajar e trabalhar no espaço exterior.		astronaut						astronauta						astronaute						Astronaut						astronauta						astronauta												Portugues::Curso::2A2 Portugues::Vocabulario::Cancao::Supertrabalhador Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career::Profession
dentista		dentista	o/a dentista	/ˈɔɐ dẽˈtiʃtɐ/	/ˈɔɐ dẽˈtʃistɐ/	s m/f	Profissional que cuida da saúde e estética dos dentes.		dentist	/ˈdɛntəst/	/ˈdentɪst/				dentista						dentiste						Zahnarzt						dentista						dentista												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
diarista (BR)		diarista	o/a diarista	/ˈɔɐ diɐˈɾiʃtɐ/	/ˈɔɐ dʒiaˈɾistɐ/	s m/f	No Brasil, pessoa que trabalha em casas particulares ou empresas por um ou mais dias na semana, sem vínculo empregatício fixo.		domestic worker						empleado,a del hogar (Brasil)						employé de maison (BR)						Hausangestellter (BR)						treballadora domèstica (BR)						lavoratore domestico (BR)												Lugares::Brasil Portugues::Adjetivos Portugues::Curso::1A2 Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Descripçao Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::People::Description Vocabulary::People::Personality Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
desportista		desportista	o/a desportista	/ˈɔɐ dɨʃpuɾˈtiʃtɐ/	/ˈɔɐ despoʁˈtʃistɐ/	s m/f	Pessoa que pratica esportes ou tem uma profissão relacionada ao desporto.		athlete	/ˈæθˌlit/	/ˈæθliːt/				deportista						sportif						Sportler						deportista						atleta												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
