atribuir + presente	atribuir	presente	Atribuo	Atribuis	Atribui	Atribuímos	Atribuem	/ɐtɾiˈbuj.u/	/ɐtɾiˈbu.ɨʃ/	/ɐtɾiˈbu.ɨ/	/ɐtɾiˈbɨ.muʃ/	/ɐtɾiˈbu.ẽj̃/
cair + presente	cair (caer)	presente	Caio	Cais	Cai	Caímos	Caem	/ˈkaju/	/ˈkajʃ/	/ˈkaj/	/kɐˈjmuʃ/	/ˈkaj̃/
conduzir + presente	conduzir	presente	Conduzo	Conduzes	Conduz	Conduzimos	Conduzem	/kõˈdu.zu/	/kõ.ˈdu.zɨʃ/	/kõ.ˈduʃ/	/kõˈduzi.muʃ/	/kõˈduzẽj̃/
conseguir + presente	conseguir	presente	Consigo	Consegues	Consegue	Conseguimos	Conseguem	/kõˈse.giʁ/	/kõˈse.ɡɐʃ/	/kõˈse.ɡi/	/kõ.seˈɡi.muʃ/	/kõˈse.ɡẽj̃/
construir + presente	construir	presente	Construo	Constróis	Constrói	Construímos	Constroem	 /kõʃ.ˈtɾu.o/	/kõʃ.ˈtɾɔjʃ/	/kõʃ.ˈtɾɔj/	/kõʃ.tɾu.ˈi.muʃ/	 /kõʃ.ˈtɾo.ẽj/
corrigir + presente	corrigir	presente	Corrijo	Corriges	Corrige	Corrigimos	Corrigem	/koˈʁi.ʒu/	/koˈʁi.ʒɨʃ/	/koˈʁi.ʒɨ/	/ko.ʁi.ʒiˈmuʃ/	/ko.ʁiˈʒẽj/
crescer + presente	crescer	presente	Cresço	Cresces	Cresce	Crescemos	Crescem	 /ˈkɾɛʃ.u/	/ˈkɾɛʃ.ɨʃ/	/ˈkɾeʃ.sɨ/	/kɾɨʃ.ˈse.muʃ/	/ˈkɾeʃ.sɐ̃j/
dar + presente	dar	presente	Dou	Dás	Dá	Damos	Dão	/ˈdow̃/	/ˈdaws/	/ˈda/	/ˈda.muʃ/	/dãw̃/
deitar-se + presente	deitar-se	presente	Deito-me	Deitas-te	Deita-se	Deitamo-nos	Deitam-se	/ˈdej.tu mi/	/ˈdej.tɐs ti/	/ˈdej.tu.se/	/ˈdej.tu.mu nus/	/ˈdej.tẽw̃ se/
descer + presente	descer	presente	Desço	Desces	Desce	Descemos	Descem	/ˈdeʃu/	/ˈdeʃiʃ/	/ˈdeʃi/	/ˈdeʃi.muʃ/	/ˈdeʃẽj̃/
