falar + imperativo (pres)	falar	imperativo (pres)	Fala	Não fales	Fale	Não fale	Falem	Não falem
morar + imperativo (pres)	morar	imperativo (pres)	Mora	Não more	More	Não more	Morem	Não morem
jogar + imperativo (pres)	jogar	imperativo (pres)	Joga	Não jogues	Jogue	Não jogue	Joguem	Não joguem
brincar + imperativo (pres)	brincar	imperativo (pres)	Brinca	Não brinques	Brinque	Não brinque	Brinquem	Não brinquem
almoçar + imperativo (pres)	almoçar	imperativo (pres)	Almoça	Não almoçes	Almoce	Não almoce	Almoçem	Não almoçem
jantar + imperativo (pres)	jantar	imperativo (pres)	Janta	Não jantes	Jante	Não jante	Jantem	Não jantem
fechar + imperativo (pres)	fechar	imperativo (pres)	Fecha	Não feches	Feche	Não feche	Fechem	Não fechem
trabalhar + imperativo (pres)	trabalhar	imperativo (pres)	Trabalha	Não trabalhes	Trabalhe	Não trabalhe	Trabalhem	Não trabalhem
praticar + imperativo (pres)	praticar	imperativo (pres)	Pratica	Não pratiques	Pratique	Não pratique	Pratiquem	Não pratiquem
ganhar + imperativo (pres)	ganhar	imperativo (pres)	Ganha	Não ganhes	Ganhe	Não ganhe	Ganhem	Não ganhem
acordar + imperativo (pres)	acordar	imperativo (pres)	Acorda	Não acordes	Acorde	Não acorde	Acordeem	Não acordeem
apanhar + imperativo (pres)	apanhar	imperativo (pres)	Apanha	Não apanhes	Apanhe	Não apanhe	Apanhem	Não apanhem
ficar + imperativo (pres)	ficar	imperativo (pres)	Fica	Não fiques	Fique	Não fique	Fiquem	Não fiquem
telefonar + imperativo (pres)	telefonar	imperativo (pres)	Telefona	Não telefonas	Telefone	Não telefone	Telefonem	Não telefonem
começar + imperativo (pres)	começar	imperativo (pres)	Começa	Não comeces	Comece	Não comece	Comecem	Não comecem
girar + imperativo (pres)	girar	imperativo (pres)	Gira	Não gires	Gire	Não gire	Girem	Não girem
usar + imperativo (pres)	usar	imperativo (pres)	Usa	Não uses	Use	Não use	Usem	Não usem
pagar + imperativo (pres)	pagar	imperativo (pres)	Paga	Não pagues	Pague	Não pague	Paguem	Não paguem
pegar + imperativo (pres)	pegar	imperativo (pres)	Pega	Não pegues	Pegue	Não pegue	Peguem	Não peguem
ensinar + imperativo (pres)	ensinar	imperativo (pres)	Ensina	Não ensines	Ensine	Não ensine	Ensinem	Não ensinem
levantar + imperativo (pres)	levantar	imperativo (pres)	Levanta	Não levantes	Levante	Não levante	Levantem	Não levantem
tocar + imperativo (pres)	tocar	imperativo (pres)	Toca	Não toques	Toque	Não toque	Toquem	Não toquem
andar + imperativo (pres)	andar	imperativo (pres)	Anda	Não andes	Ande	Não ande	Andem	Não andem
lavar + imperativo (pres)	lavar	imperativo (pres)	lava	Não laves	lave	Não lave	lavem	Não lavem
usar + imperativo (pres)	usar	imperativo (pres)	Usa	Não uses	Use	Não use	Usem	Não usem
acabar + imperativo (pres)	acabar	imperativo (pres)	Acaba	Não acabes	Acabe	Não acabe	Acabem	Não acabem
encontrar + imperativo (pres)	encontrar	imperativo (pres)	Encontra	Não encontres	Encontre	Não encontre	Encontrem	Não encontrem
pensar + imperativo (pres)	pensar	imperativo (pres)	Pensa	Não penses	Pense	Não pense	Pensem	Não pensem
viajar + imperativo (pres)	viajar	imperativo (pres)	Viaja	Não viajes	Viaje	Não viaje	Viajem	Não viajem
beijar + imperativo (pres)	beijar	imperativo (pres)	Beija	Não beijes	Beije	Não beije	Beijem	Não beijem
cantar + imperativo (pres)	cantar	imperativo (pres)	Canta	Não cantes	Cante	Não cante	Cantem	Não cantem
chamar + imperativo (pres)	chamar	imperativo (pres)	Chama	Não chames	Chame	Não chame	Chamem	Não chamem
costumar + imperativo (pres)	costumar	imperativo (pres)	Costuma	Não costumes	Costume	Não costume	Costumem	Não costumem
dançar + imperativo (pres)	dançar	imperativo (pres)	Dança	Não danças	Dançe	Não dançe	Dançem	Não dançem
deixar + imperativo (pres)	deixar	imperativo (pres)	Deixa	Não deixes	Deixe	Não deixe	Deixem	Não deixem
ligar + imperativo (pres)	ligar	imperativo (pres)	Liga	Não ligu es	Ligue	Não ligue	Liguem	Não liguem
marcar + imperativo (pres)	marcar	imperativo (pres)	Marca	Não marques	Marque	Não marque	Marquem	Não marquem
