Verb + Imperativo (pres)	Verb	Imperativo (pres)	Tu	Tu negative	Você	Você negative	Vocês	Vocês negative
Comer + Imperativo (pres)	Comer	Imperativo (pres)	Come	Não comas	Come	Não coma	Comam	Não comam
Beber + Imperativo (pres)	Beber	Imperativo (pres)	Bebe	Não bebas	Bebe	Não beba	Bebam	Não bebam
Correr + Imperativo (pres)	Correr	Imperativo (pres)	Corre	Não corras	Corra	Não corra	Corram	Não corram
Aprender + Imperativo (pres)	Aprender	Imperativo (pres)	Aprende	Não aprendas	Aprenda	Não aprenda	Aprendam	Não aprendam
Escrever + Imperativo (pres)	Escrever	Imperativo (pres)	Escreve	Não escrevas	Escreva	Não escreva	Escrevam	Não escrevam
Crescer + Imperativo (pres)	Crescer	Imperativo (pres)	Cresce	Não cresças	Cresça	Não cresça	Cresçam	Não cresçam
Prometer + Imperativo (pres)	Prometer	Imperativo (pres)	Promete	Não prometas	Prometa	Não prometa	Prometam	Não prometam
Entender + Imperativo (pres)	Entender	Imperativo (pres)	Entende	Não entendas	Entenda	Não entenda	Entendam	Não entendam
Agradecer + Imperativo (pres)	Agradecer	Imperativo (pres)	Agradece	Não agradeças	Agradeça	Não agradeça	Agradeçam	Não agradeçam
Proteger + Imperativo (pres)	Proteger	Imperativo (pres)	Protege	Não protejas	Proteja	Não proteja	Protejam	Não protejam
Escolher + Imperativo (pres)	Escolher	Imperativo (pres)	Escolhe	Não escolhas	Escolha	Não escolha	Escolham	Não escolham
Viver + Imperativo (pres)	Viver	Imperativo (pres)	Vive	Não vivas	Viva	Não viva	Vivam	Não vivam
Permanecer + Imperativo (pres)	Permanecer	Imperativo (pres)	Permanece	Não permaneças	Permaneça	Não permaneça	Permaneçam	Não permaneçam
Acontecer + Imperativo (pres)	Acontecer	Imperativo (pres)	Acontece	Não aconteças	Aconteça	Não aconteça	Aconteçam	Não aconteçam
Bater + Imperativo (pres)	Bater	Imperativo (pres)	Bate	Não batas	Bata	Não bata	Batam	Não batam
Oferecer + Imperativo (pres)	Oferecer	Imperativo (pres)	Oferece	Não ofereças	Ofereça	Não ofereça	Ofereçam	Não ofereçam
Doer + Imperativo (pres)	Doer	Imperativo (pres)	Dói	Não does	Dói	Não doa	Doam	Não doam
Preencher + Imperativo (pres)	Preencher	Imperativo (pres)	Preenche	Não preenchas	Preencha	Não preencha	Preencham	Não preencham
Dever + Imperativo (pres)	Dever	Imperativo (pres)	Deve	Não devas	Deva	Não deva	Devejam	Não devam
Compreender + Imperativo (pres)	Compreender	Imperativo (pres)	Compreende	Não compreendas	Compreenda	Não compreenda	Compreendam	Não compreendam
Resolver + Imperativo (pres)	Resolver	Imperativo (pres)	Resolve	Não resolvas	Resolva	Não resolva	Resolvam	Não resolvam
Parecer + Imperativo (pres)	Parecer	Imperativo (pres)	Parece	Não pareças	Pareça	Não pareça	Pareçam	Não pareçam
Atender + Imperativo (pres)	Atender	Imperativo (pres)	Atende	Não atendas	Atenda	Não atenda	Atendam	Não atendam
Receber + Imperativo (pres)	Receber	Imperativo (pres)	Recebe	Não recebas	Receba	Não receba	Recebam	Não recebam
Morrer + Imperativo (pres)	Morrer	Imperativo (pres)	Morre	Não morras	Morra	Não morra	Morram	Não morram
Perceber + Imperativo (pres)	Perceber	Imperativo (pres)	Percebe	Não percebas	Perceba	Não perceba	Percebam	Não percebam
Dissolver + Imperativo (pres)	Dissolver	Imperativo (pres)	Dissolve	Não dissolvas	Dissolva	Não dissolva	Dissolvam	Não dissolvam
Aquecer + Imperativo (pres)	Aquecer	Imperativo (pres)	Aquece	Não aqueças	Aqueça	Não aqueça	Aqueçam	Não aqueçam
Acender + Imperativo (pres)	Acender	Imperativo (pres)	Acende	Não acendas	Acenda	Não acenda	Acendam	Não acendam
